dataset,model,reg_type,penalty_transform,lambda,mlp_epochs,seed,run,best_valid,test_at_best_valid,penalty_dist,offdiag_cv,mlp_acc,cooc_oracle_dist,budget,n_prior_edges,config
coauthor-cs,polynormer,mlp,none,0.05,500,42,9,92.0000,91.9302,0.0,0.06171233952045441,0.7300000190734863,0.8292924165725708,20,,"lr=0.001,hid=64,do=0.3,wd=0.0005,heads=8,ll=5,gl=2,le=100,ge=1500,beta=-1.0,vpc=20"
coauthor-cs,polynormer,mlp,none,0.1,500,42,0,91.3333,91.1941,0.0,0.0534149706363678,0.7100000381469727,0.8335877656936646,20,,"lr=0.001,hid=64,do=0.3,wd=0.0005,heads=8,ll=5,gl=2,le=100,ge=1500,beta=-1.0,vpc=20"
coauthor-cs,polynormer,mlp,none,0.1,500,42,1,89.0000,90.6216,0.0,0.06168467178940773,0.7200000286102295,0.8395102024078369,20,,"lr=0.001,hid=64,do=0.3,wd=0.0005,heads=8,ll=5,gl=2,le=100,ge=1500,beta=-1.0,vpc=20"
coauthor-cs,polynormer,mlp,none,0.1,500,42,2,91.6667,91.3032,0.0,0.06105905771255493,0.7066667079925537,0.8361601233482361,20,,"lr=0.001,hid=64,do=0.3,wd=0.0005,heads=8,ll=5,gl=2,le=100,ge=1500,beta=-1.0,vpc=20"
coauthor-cs,polynormer,mlp,none,0.1,500,42,3,89.3333,91.6848,0.0,0.06809519231319427,0.7233333587646484,0.8269158005714417,20,,"lr=0.001,hid=64,do=0.3,wd=0.0005,heads=8,ll=5,gl=2,le=100,ge=1500,beta=-1.0,vpc=20"
coauthor-cs,polynormer,mlp,none,0.1,500,42,4,91.6667,90.2399,0.0,0.05215223878622055,0.7566666603088379,0.8385501503944397,20,,"lr=0.001,hid=64,do=0.3,wd=0.0005,heads=8,ll=5,gl=2,le=100,ge=1500,beta=-1.0,vpc=20"
coauthor-cs,polynormer,mlp,none,0.1,500,42,5,90.3333,91.3850,0.0,0.05271819978952408,0.753333330154419,0.841884434223175,20,,"lr=0.001,hid=64,do=0.3,wd=0.0005,heads=8,ll=5,gl=2,le=100,ge=1500,beta=-1.0,vpc=20"
coauthor-cs,polynormer,mlp,none,0.1,500,42,6,92.6667,91.9029,0.0,0.06115587800741196,0.7100000381469727,0.8308780789375305,20,,"lr=0.001,hid=64,do=0.3,wd=0.0005,heads=8,ll=5,gl=2,le=100,ge=1500,beta=-1.0,vpc=20"
coauthor-cs,polynormer,mlp,none,0.1,500,42,7,90.6667,90.5125,0.0,0.05319927632808685,0.7366666793823242,0.8280399441719055,20,,"lr=0.001,hid=64,do=0.3,wd=0.0005,heads=8,ll=5,gl=2,le=100,ge=1500,beta=-1.0,vpc=20"
coauthor-cs,polynormer,mlp,none,0.1,500,42,8,92.0000,90.2672,0.0,0.05620788782835007,0.7033333778381348,0.8414282202720642,20,,"lr=0.001,hid=64,do=0.3,wd=0.0005,heads=8,ll=5,gl=2,le=100,ge=1500,beta=-1.0,vpc=20"
coauthor-cs,polynormer,mlp,none,0.1,500,42,9,92.0000,89.4220,0.0,0.06171233952045441,0.7300000190734863,0.8292924165725708,20,,"lr=0.001,hid=64,do=0.3,wd=0.0005,heads=8,ll=5,gl=2,le=100,ge=1500,beta=-1.0,vpc=20"
coauthor-cs,polynormer,mlp,none,0.2,500,42,0,92.0000,92.5845,0.0,0.0534149706363678,0.7100000381469727,0.8335877656936646,20,,"lr=0.001,hid=64,do=0.3,wd=0.0005,heads=8,ll=5,gl=2,le=100,ge=1500,beta=-1.0,vpc=20"
coauthor-cs,polynormer,mlp,none,0.2,500,42,1,90.6667,89.7492,0.0,0.06168467178940773,0.7200000286102295,0.8395102024078369,20,,"lr=0.001,hid=64,do=0.3,wd=0.0005,heads=8,ll=5,gl=2,le=100,ge=1500,beta=-1.0,vpc=20"
coauthor-cs,polynormer,mlp,none,0.2,500,42,2,92.0000,92.0665,0.0,0.06105905771255493,0.7066667079925537,0.8361601233482361,20,,"lr=0.001,hid=64,do=0.3,wd=0.0005,heads=8,ll=5,gl=2,le=100,ge=1500,beta=-1.0,vpc=20"
coauthor-cs,polynormer,mlp,none,0.2,500,42,3,89.0000,90.6489,0.0,0.06809519231319427,0.7233333587646484,0.8269158005714417,20,,"lr=0.001,hid=64,do=0.3,wd=0.0005,heads=8,ll=5,gl=2,le=100,ge=1500,beta=-1.0,vpc=20"
coauthor-cs,polynormer,mlp,none,0.2,500,42,4,91.0000,89.2039,0.0,0.05215223878622055,0.7566666603088379,0.8385501503944397,20,,"lr=0.001,hid=64,do=0.3,wd=0.0005,heads=8,ll=5,gl=2,le=100,ge=1500,beta=-1.0,vpc=20"
coauthor-cs,polynormer,mlp,none,0.2,500,42,5,89.6667,90.4308,0.0,0.05271819978952408,0.753333330154419,0.841884434223175,20,,"lr=0.001,hid=64,do=0.3,wd=0.0005,heads=8,ll=5,gl=2,le=100,ge=1500,beta=-1.0,vpc=20"
coauthor-cs,polynormer,mlp,none,0.2,500,42,6,91.6667,92.5845,0.0,0.06115587800741196,0.7100000381469727,0.8308780789375305,20,,"lr=0.001,hid=64,do=0.3,wd=0.0005,heads=8,ll=5,gl=2,le=100,ge=1500,beta=-1.0,vpc=20"
coauthor-cs,polynormer,mlp,none,0.2,500,42,7,90.6667,91.4122,0.0,0.05319927632808685,0.7366666793823242,0.8280399441719055,20,,"lr=0.001,hid=64,do=0.3,wd=0.0005,heads=8,ll=5,gl=2,le=100,ge=1500,beta=-1.0,vpc=20"
coauthor-cs,polynormer,mlp,none,0.2,500,42,8,91.3333,89.9128,0.0,0.05620788782835007,0.7033333778381348,0.8414282202720642,20,,"lr=0.001,hid=64,do=0.3,wd=0.0005,heads=8,ll=5,gl=2,le=100,ge=1500,beta=-1.0,vpc=20"
coauthor-cs,polynormer,mlp,none,0.2,500,42,9,92.6667,90.7034,0.0,0.06171233952045441,0.7300000190734863,0.8292924165725708,20,,"lr=0.001,hid=64,do=0.3,wd=0.0005,heads=8,ll=5,gl=2,le=100,ge=1500,beta=-1.0,vpc=20"
coauthor-cs,polynormer,mlp,none,0.4,500,42,0,91.3333,91.1396,0.0,0.0534149706363678,0.7100000381469727,0.8335877656936646,20,,"lr=0.001,hid=64,do=0.3,wd=0.0005,heads=8,ll=5,gl=2,le=100,ge=1500,beta=-1.0,vpc=20"
coauthor-cs,polynormer,mlp,none,0.4,500,42,1,90.0000,91.2759,0.0,0.06168467178940773,0.7200000286102295,0.8395102024078369,20,,"lr=0.001,hid=64,do=0.3,wd=0.0005,heads=8,ll=5,gl=2,le=100,ge=1500,beta=-1.0,vpc=20"
coauthor-cs,polynormer,mlp,none,0.4,500,42,2,91.6667,91.5213,0.0,0.06105905771255493,0.7066667079925537,0.8361601233482361,20,,"lr=0.001,hid=64,do=0.3,wd=0.0005,heads=8,ll=5,gl=2,le=100,ge=1500,beta=-1.0,vpc=20"
coauthor-cs,polynormer,mlp,none,0.4,500,42,3,90.3333,90.3490,0.0,0.06809519231319427,0.7233333587646484,0.8269158005714417,20,,"lr=0.001,hid=64,do=0.3,wd=0.0005,heads=8,ll=5,gl=2,le=100,ge=1500,beta=-1.0,vpc=20"
coauthor-cs,polynormer,mlp,none,0.4,500,42,4,91.3333,90.5671,0.0,0.05215223878622055,0.7566666603088379,0.8385501503944397,20,,"lr=0.001,hid=64,do=0.3,wd=0.0005,heads=8,ll=5,gl=2,le=100,ge=1500,beta=-1.0,vpc=20"
coauthor-cs,polynormer,mlp,none,0.4,500,42,5,90.0000,91.1123,0.0,0.05271819978952408,0.753333330154419,0.841884434223175,20,,"lr=0.001,hid=64,do=0.3,wd=0.0005,heads=8,ll=5,gl=2,le=100,ge=1500,beta=-1.0,vpc=20"
coauthor-cs,polynormer,mlp,none,0.4,500,42,6,91.3333,89.9946,0.0,0.06115587800741196,0.7100000381469727,0.8308780789375305,20,,"lr=0.001,hid=64,do=0.3,wd=0.0005,heads=8,ll=5,gl=2,le=100,ge=1500,beta=-1.0,vpc=20"
coauthor-cs,polynormer,mlp,none,0.4,500,42,7,90.6667,89.3130,0.0,0.05319927632808685,0.7366666793823242,0.8280399441719055,20,,"lr=0.001,hid=64,do=0.3,wd=0.0005,heads=8,ll=5,gl=2,le=100,ge=1500,beta=-1.0,vpc=20"
coauthor-cs,polynormer,mlp,none,0.4,500,42,8,92.0000,89.3948,0.0,0.05620788782835007,0.7033333778381348,0.8414282202720642,20,,"lr=0.001,hid=64,do=0.3,wd=0.0005,heads=8,ll=5,gl=2,le=100,ge=1500,beta=-1.0,vpc=20"
coauthor-cs,polynormer,mlp,none,0.4,500,42,9,92.0000,91.7939,0.0,0.06171233952045441,0.7300000190734863,0.8292924165725708,20,,"lr=0.001,hid=64,do=0.3,wd=0.0005,heads=8,ll=5,gl=2,le=100,ge=1500,beta=-1.0,vpc=20"
coauthor-cs,polynormer,mlp,none,0.8,500,42,0,92.3333,91.6303,0.0,0.0534149706363678,0.7100000381469727,0.8335877656936646,20,,"lr=0.001,hid=64,do=0.3,wd=0.0005,heads=8,ll=5,gl=2,le=100,ge=1500,beta=-1.0,vpc=20"
coauthor-cs,polynormer,mlp,none,0.8,500,42,1,90.3333,88.2497,0.0,0.06168467178940773,0.7200000286102295,0.8395102024078369,20,,"lr=0.001,hid=64,do=0.3,wd=0.0005,heads=8,ll=5,gl=2,le=100,ge=1500,beta=-1.0,vpc=20"
coauthor-cs,polynormer,mlp,none,0.8,500,42,2,91.3333,90.6761,0.0,0.06105905771255493,0.7066667079925537,0.8361601233482361,20,,"lr=0.001,hid=64,do=0.3,wd=0.0005,heads=8,ll=5,gl=2,le=100,ge=1500,beta=-1.0,vpc=20"
coauthor-cs,polynormer,mlp,none,0.8,500,42,3,90.3333,89.2039,0.0,0.06809519231319427,0.7233333587646484,0.8269158005714417,20,,"lr=0.001,hid=64,do=0.3,wd=0.0005,heads=8,ll=5,gl=2,le=100,ge=1500,beta=-1.0,vpc=20"
coauthor-cs,polynormer,mlp,none,0.8,500,42,4,92.0000,89.8855,0.0,0.05215223878622055,0.7566666603088379,0.8385501503944397,20,,"lr=0.001,hid=64,do=0.3,wd=0.0005,heads=8,ll=5,gl=2,le=100,ge=1500,beta=-1.0,vpc=20"
coauthor-cs,polynormer,mlp,none,0.8,500,42,5,89.6667,91.0305,0.0,0.05271819978952408,0.753333330154419,0.841884434223175,20,,"lr=0.001,hid=64,do=0.3,wd=0.0005,heads=8,ll=5,gl=2,le=100,ge=1500,beta=-1.0,vpc=20"
coauthor-cs,polynormer,mlp,none,0.8,500,42,6,91.3333,92.2846,0.0,0.06115587800741196,0.7100000381469727,0.8308780789375305,20,,"lr=0.001,hid=64,do=0.3,wd=0.0005,heads=8,ll=5,gl=2,le=100,ge=1500,beta=-1.0,vpc=20"
coauthor-cs,polynormer,mlp,none,0.8,500,42,7,90.6667,90.6489,0.0,0.05319927632808685,0.7366666793823242,0.8280399441719055,20,,"lr=0.001,hid=64,do=0.3,wd=0.0005,heads=8,ll=5,gl=2,le=100,ge=1500,beta=-1.0,vpc=20"
coauthor-cs,polynormer,mlp,none,0.8,500,42,8,91.6667,90.6216,0.0,0.05620788782835007,0.7033333778381348,0.8414282202720642,20,,"lr=0.001,hid=64,do=0.3,wd=0.0005,heads=8,ll=5,gl=2,le=100,ge=1500,beta=-1.0,vpc=20"
