dataset,model,reg_type,penalty_transform,lambda,mlp_epochs,seed,run,best_valid,test_at_best_valid,penalty_dist,offdiag_cv,mlp_acc,cooc_oracle_dist,budget,n_prior_edges,config
pubmed,MPNN_gcn,mlp,none,0.01,500,123,9,73.3333,71.2000,0.0,0.08551302552223206,0.7333333492279053,0.5530878901481628,5,,"lr=0.005,hid=256,do=0.7,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False,vpc=5"
pubmed,MPNN_gcn,mlp,none,0.05,500,123,0,86.6667,77.3000,0.0,0.1279960572719574,0.3333333432674408,0.601000964641571,5,,"lr=0.005,hid=256,do=0.7,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False,vpc=5"
pubmed,MPNN_gcn,mlp,none,0.05,500,123,1,86.6667,60.9000,0.0,0.03828485682606697,0.40000003576278687,0.6206748485565186,5,,"lr=0.005,hid=256,do=0.7,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False,vpc=5"
pubmed,MPNN_gcn,mlp,none,0.05,500,123,2,73.3333,59.1000,0.0,0.07038752734661102,0.20000001788139343,0.5895557999610901,5,,"lr=0.005,hid=256,do=0.7,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False,vpc=5"
pubmed,MPNN_gcn,mlp,none,0.05,500,123,3,73.3333,47.8000,0.0,0.04221741110086441,0.6666666865348816,0.607153058052063,5,,"lr=0.005,hid=256,do=0.7,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False,vpc=5"
pubmed,MPNN_gcn,mlp,none,0.05,500,123,4,93.3333,70.7000,0.0,0.06369885802268982,0.6000000238418579,0.6050048470497131,5,,"lr=0.005,hid=256,do=0.7,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False,vpc=5"
pubmed,MPNN_gcn,mlp,none,0.05,500,123,5,80.0000,72.9000,0.0,0.06792990118265152,0.3333333432674408,0.6245142221450806,5,,"lr=0.005,hid=256,do=0.7,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False,vpc=5"
pubmed,MPNN_gcn,mlp,none,0.05,500,123,6,73.3333,68.6000,0.0,0.22277584671974182,0.46666669845581055,0.5833890438079834,5,,"lr=0.005,hid=256,do=0.7,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False,vpc=5"
pubmed,MPNN_gcn,mlp,none,0.05,500,123,7,86.6667,73.7000,0.0,0.10772798210382462,0.6000000238418579,0.5884616374969482,5,,"lr=0.005,hid=256,do=0.7,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False,vpc=5"
pubmed,MPNN_gcn,mlp,none,0.05,500,123,8,93.3333,65.5000,0.0,0.141534686088562,0.6666666865348816,0.6053858399391174,5,,"lr=0.005,hid=256,do=0.7,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False,vpc=5"
pubmed,MPNN_gcn,mlp,none,0.05,500,123,9,80.0000,66.9000,0.0,0.08551302552223206,0.7333333492279053,0.5530878901481628,5,,"lr=0.005,hid=256,do=0.7,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False,vpc=5"
pubmed,MPNN_gcn,mlp,none,0.1,500,123,0,86.6667,76.9000,0.0,0.1279960572719574,0.3333333432674408,0.601000964641571,5,,"lr=0.005,hid=256,do=0.7,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False,vpc=5"
pubmed,MPNN_gcn,mlp,none,0.1,500,123,1,86.6667,62.7000,0.0,0.03828485682606697,0.40000003576278687,0.6206748485565186,5,,"lr=0.005,hid=256,do=0.7,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False,vpc=5"
pubmed,MPNN_gcn,mlp,none,0.1,500,123,2,73.3333,57.7000,0.0,0.07038752734661102,0.20000001788139343,0.5895557999610901,5,,"lr=0.005,hid=256,do=0.7,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False,vpc=5"
pubmed,MPNN_gcn,mlp,none,0.1,500,123,3,73.3333,44.3000,0.0,0.04221741110086441,0.6666666865348816,0.607153058052063,5,,"lr=0.005,hid=256,do=0.7,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False,vpc=5"
pubmed,MPNN_gcn,mlp,none,0.1,500,123,4,93.3333,70.5000,0.0,0.06369885802268982,0.6000000238418579,0.6050048470497131,5,,"lr=0.005,hid=256,do=0.7,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False,vpc=5"
pubmed,MPNN_gcn,mlp,none,0.1,500,123,5,80.0000,73.0000,0.0,0.06792990118265152,0.3333333432674408,0.6245142221450806,5,,"lr=0.005,hid=256,do=0.7,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False,vpc=5"
pubmed,MPNN_gcn,mlp,none,0.1,500,123,6,73.3333,69.9000,0.0,0.22277584671974182,0.46666669845581055,0.5833890438079834,5,,"lr=0.005,hid=256,do=0.7,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False,vpc=5"
pubmed,MPNN_gcn,mlp,none,0.1,500,123,7,86.6667,73.4000,0.0,0.10772798210382462,0.6000000238418579,0.5884616374969482,5,,"lr=0.005,hid=256,do=0.7,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False,vpc=5"
pubmed,MPNN_gcn,mlp,none,0.1,500,123,8,93.3333,65.8000,0.0,0.141534686088562,0.6666666865348816,0.6053858399391174,5,,"lr=0.005,hid=256,do=0.7,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False,vpc=5"
pubmed,MPNN_gcn,mlp,none,0.1,500,123,9,80.0000,65.5000,0.0,0.08551302552223206,0.7333333492279053,0.5530878901481628,5,,"lr=0.005,hid=256,do=0.7,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False,vpc=5"
pubmed,MPNN_gcn,mlp,none,0.2,500,123,0,86.6667,77.2000,0.0,0.1279960572719574,0.3333333432674408,0.601000964641571,5,,"lr=0.005,hid=256,do=0.7,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False,vpc=5"
pubmed,MPNN_gcn,mlp,none,0.2,500,123,1,86.6667,62.7000,0.0,0.03828485682606697,0.40000003576278687,0.6206748485565186,5,,"lr=0.005,hid=256,do=0.7,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False,vpc=5"
pubmed,MPNN_gcn,mlp,none,0.2,500,123,2,80.0000,64.0000,0.0,0.07038752734661102,0.20000001788139343,0.5895557999610901,5,,"lr=0.005,hid=256,do=0.7,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False,vpc=5"
pubmed,MPNN_gcn,mlp,none,0.2,500,123,3,73.3333,44.9000,0.0,0.04221741110086441,0.6666666865348816,0.607153058052063,5,,"lr=0.005,hid=256,do=0.7,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False,vpc=5"
pubmed,MPNN_gcn,mlp,none,0.2,500,123,4,93.3333,71.1000,0.0,0.06369885802268982,0.6000000238418579,0.6050048470497131,5,,"lr=0.005,hid=256,do=0.7,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False,vpc=5"
pubmed,MPNN_gcn,mlp,none,0.2,500,123,5,80.0000,73.0000,0.0,0.06792990118265152,0.3333333432674408,0.6245142221450806,5,,"lr=0.005,hid=256,do=0.7,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False,vpc=5"
pubmed,MPNN_gcn,mlp,none,0.2,500,123,6,73.3333,68.7000,0.0,0.22277584671974182,0.46666669845581055,0.5833890438079834,5,,"lr=0.005,hid=256,do=0.7,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False,vpc=5"
pubmed,MPNN_gcn,mlp,none,0.2,500,123,7,86.6667,72.6000,0.0,0.10772798210382462,0.6000000238418579,0.5884616374969482,5,,"lr=0.005,hid=256,do=0.7,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False,vpc=5"
pubmed,MPNN_gcn,mlp,none,0.2,500,123,8,86.6667,66.1000,0.0,0.141534686088562,0.6666666865348816,0.6053858399391174,5,,"lr=0.005,hid=256,do=0.7,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False,vpc=5"
pubmed,MPNN_gcn,mlp,none,0.2,500,123,9,73.3333,70.9000,0.0,0.08551302552223206,0.7333333492279053,0.5530878901481628,5,,"lr=0.005,hid=256,do=0.7,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False,vpc=5"
pubmed,MPNN_gcn,mlp,none,0.4,500,123,0,86.6667,78.2000,0.0,0.1279960572719574,0.3333333432674408,0.601000964641571,5,,"lr=0.005,hid=256,do=0.7,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False,vpc=5"
pubmed,MPNN_gcn,mlp,none,0.4,500,123,1,80.0000,61.9000,0.0,0.03828485682606697,0.40000003576278687,0.6206748485565186,5,,"lr=0.005,hid=256,do=0.7,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False,vpc=5"
pubmed,MPNN_gcn,mlp,none,0.4,500,123,2,80.0000,64.7000,0.0,0.07038752734661102,0.20000001788139343,0.5895557999610901,5,,"lr=0.005,hid=256,do=0.7,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False,vpc=5"
pubmed,MPNN_gcn,mlp,none,0.4,500,123,3,80.0000,46.5000,0.0,0.04221741110086441,0.6666666865348816,0.607153058052063,5,,"lr=0.005,hid=256,do=0.7,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False,vpc=5"
pubmed,MPNN_gcn,mlp,none,0.4,500,123,4,93.3333,70.2000,0.0,0.06369885802268982,0.6000000238418579,0.6050048470497131,5,,"lr=0.005,hid=256,do=0.7,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False,vpc=5"
pubmed,MPNN_gcn,mlp,none,0.4,500,123,5,80.0000,72.5000,0.0,0.06792990118265152,0.3333333432674408,0.6245142221450806,5,,"lr=0.005,hid=256,do=0.7,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False,vpc=5"
pubmed,MPNN_gcn,mlp,none,0.4,500,123,6,73.3333,68.1000,0.0,0.22277584671974182,0.46666669845581055,0.5833890438079834,5,,"lr=0.005,hid=256,do=0.7,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False,vpc=5"
pubmed,MPNN_gcn,mlp,none,0.4,500,123,7,86.6667,73.4000,0.0,0.10772798210382462,0.6000000238418579,0.5884616374969482,5,,"lr=0.005,hid=256,do=0.7,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False,vpc=5"
pubmed,MPNN_gcn,mlp,none,0.4,500,123,8,93.3333,66.9000,0.0,0.141534686088562,0.6666666865348816,0.6053858399391174,5,,"lr=0.005,hid=256,do=0.7,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False,vpc=5"
pubmed,MPNN_gcn,mlp,none,0.4,500,123,9,80.0000,66.1000,0.0,0.08551302552223206,0.7333333492279053,0.5530878901481628,5,,"lr=0.005,hid=256,do=0.7,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False,vpc=5"
pubmed,MPNN_gcn,mlp,none,0.8,500,123,0,86.6667,76.4000,0.0,0.1279960572719574,0.3333333432674408,0.601000964641571,5,,"lr=0.005,hid=256,do=0.7,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False,vpc=5"
pubmed,MPNN_gcn,mlp,none,0.8,500,123,1,80.0000,62.8000,0.0,0.03828485682606697,0.40000003576278687,0.6206748485565186,5,,"lr=0.005,hid=256,do=0.7,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False,vpc=5"
pubmed,MPNN_gcn,mlp,none,0.8,500,123,2,73.3333,47.2000,0.0,0.07038752734661102,0.20000001788139343,0.5895557999610901,5,,"lr=0.005,hid=256,do=0.7,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False,vpc=5"
pubmed,MPNN_gcn,mlp,none,0.8,500,123,3,73.3333,49.9000,0.0,0.04221741110086441,0.6666666865348816,0.607153058052063,5,,"lr=0.005,hid=256,do=0.7,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False,vpc=5"
pubmed,MPNN_gcn,mlp,none,0.8,500,123,4,86.6667,72.0000,0.0,0.06369885802268982,0.6000000238418579,0.6050048470497131,5,,"lr=0.005,hid=256,do=0.7,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False,vpc=5"
pubmed,MPNN_gcn,mlp,none,0.8,500,123,5,80.0000,72.3000,0.0,0.06792990118265152,0.3333333432674408,0.6245142221450806,5,,"lr=0.005,hid=256,do=0.7,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False,vpc=5"
pubmed,MPNN_gcn,mlp,none,0.8,500,123,6,73.3333,65.9000,0.0,0.22277584671974182,0.46666669845581055,0.5833890438079834,5,,"lr=0.005,hid=256,do=0.7,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False,vpc=5"
pubmed,MPNN_gcn,mlp,none,0.8,500,123,7,86.6667,68.2000,0.0,0.10772798210382462,0.6000000238418579,0.5884616374969482,5,,"lr=0.005,hid=256,do=0.7,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False,vpc=5"
pubmed,MPNN_gcn,mlp,none,0.8,500,123,8,93.3333,66.7000,0.0,0.141534686088562,0.6666666865348816,0.6053858399391174,5,,"lr=0.005,hid=256,do=0.7,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False,vpc=5"
pubmed,MPNN_gcn,mlp,none,0.8,500,123,9,73.3333,67.9000,0.0,0.08551302552223206,0.7333333492279053,0.5530878901481628,5,,"lr=0.005,hid=256,do=0.7,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False,vpc=5"
pubmed,MPNN_gcn,mlp,none,1.6,500,123,0,80.0000,72.5000,0.0,0.1279960572719574,0.3333333432674408,0.601000964641571,5,,"lr=0.005,hid=256,do=0.7,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False,vpc=5"
pubmed,MPNN_gcn,mlp,none,1.6,500,123,1,80.0000,57.7000,0.0,0.03828485682606697,0.40000003576278687,0.6206748485565186,5,,"lr=0.005,hid=256,do=0.7,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False,vpc=5"
pubmed,MPNN_gcn,mlp,none,1.6,500,123,2,80.0000,61.4000,0.0,0.07038752734661102,0.20000001788139343,0.5895557999610901,5,,"lr=0.005,hid=256,do=0.7,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False,vpc=5"
pubmed,MPNN_gcn,mlp,none,1.6,500,123,3,60.0000,44.7000,0.0,0.04221741110086441,0.6666666865348816,0.607153058052063,5,,"lr=0.005,hid=256,do=0.7,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False,vpc=5"
pubmed,MPNN_gcn,mlp,none,1.6,500,123,4,93.3333,66.0000,0.0,0.06369885802268982,0.6000000238418579,0.6050048470497131,5,,"lr=0.005,hid=256,do=0.7,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False,vpc=5"
pubmed,MPNN_gcn,mlp,none,1.6,500,123,5,80.0000,74.1000,0.0,0.06792990118265152,0.3333333432674408,0.6245142221450806,5,,"lr=0.005,hid=256,do=0.7,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False,vpc=5"
pubmed,MPNN_gcn,mlp,none,1.6,500,123,6,73.3333,65.0000,0.0,0.22277584671974182,0.46666669845581055,0.5833890438079834,5,,"lr=0.005,hid=256,do=0.7,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False,vpc=5"
pubmed,MPNN_gcn,mlp,none,1.6,500,123,7,80.0000,70.8000,0.0,0.10772798210382462,0.6000000238418579,0.5884616374969482,5,,"lr=0.005,hid=256,do=0.7,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False,vpc=5"
pubmed,MPNN_gcn,mlp,none,1.6,500,123,8,86.6667,72.5000,0.0,0.141534686088562,0.6666666865348816,0.6053858399391174,5,,"lr=0.005,hid=256,do=0.7,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False,vpc=5"
pubmed,MPNN_gcn,mlp,none,1.6,500,123,9,80.0000,65.0000,0.0,0.08551302552223206,0.7333333492279053,0.5530878901481628,5,,"lr=0.005,hid=256,do=0.7,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False,vpc=5"
