dataset,model,reg_type,penalty_transform,lambda,mlp_epochs,seed,run,best_valid,test_at_best_valid,penalty_dist,offdiag_cv,mlp_acc,cooc_oracle_dist,config
pubmed,polynormer,none,,0.0,,123,0,78.4000,77.2000,,,,,"lr=0.001,hid=64,do=0.3,wd=0.0005,heads=8,ll=5,gl=2,le=100,ge=1000,beta=-1.0"
pubmed,polynormer,none,,0.0,,123,1,78.4000,75.5000,,,,,"lr=0.001,hid=64,do=0.3,wd=0.0005,heads=8,ll=5,gl=2,le=100,ge=1000,beta=-1.0"
pubmed,polynormer,none,,0.0,,123,2,78.4000,75.1000,,,,,"lr=0.001,hid=64,do=0.3,wd=0.0005,heads=8,ll=5,gl=2,le=100,ge=1000,beta=-1.0"
pubmed,polynormer,none,,0.0,,123,0,79.8000,79.2000,,,,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=5,gl=2,le=100,ge=1000,beta=-1.0"
pubmed,polynormer,none,,0.0,,123,1,78.4000,76.1000,,,,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=5,gl=2,le=100,ge=1000,beta=-1.0"
pubmed,polynormer,none,,0.0,,123,2,80.0000,78.1000,,,,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=5,gl=2,le=100,ge=1000,beta=-1.0"
pubmed,polynormer,none,,0.0,,123,0,78.8000,75.2000,,,,,"lr=0.001,hid=64,do=0.7,wd=0.0005,heads=8,ll=5,gl=2,le=100,ge=1000,beta=-1.0"
pubmed,polynormer,none,,0.0,,123,1,79.4000,77.2000,,,,,"lr=0.001,hid=64,do=0.7,wd=0.0005,heads=8,ll=5,gl=2,le=100,ge=1000,beta=-1.0"
pubmed,polynormer,none,,0.0,,123,2,79.0000,77.6000,,,,,"lr=0.001,hid=64,do=0.7,wd=0.0005,heads=8,ll=5,gl=2,le=100,ge=1000,beta=-1.0"
pubmed,polynormer,none,,0.0,,123,0,78.6000,78.7000,,,,,"lr=0.001,hid=64,do=0.3,wd=0.0005,heads=8,ll=7,gl=1,le=100,ge=1000,beta=-1.0"
pubmed,polynormer,none,,0.0,,123,1,78.8000,74.3000,,,,,"lr=0.001,hid=64,do=0.3,wd=0.0005,heads=8,ll=7,gl=1,le=100,ge=1000,beta=-1.0"
pubmed,polynormer,none,,0.0,,123,2,79.0000,76.3000,,,,,"lr=0.001,hid=64,do=0.3,wd=0.0005,heads=8,ll=7,gl=1,le=100,ge=1000,beta=-1.0"
pubmed,polynormer,none,,0.0,,123,0,79.0000,77.0000,,,,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=7,gl=1,le=100,ge=1000,beta=-1.0"
pubmed,polynormer,none,,0.0,,123,1,77.8000,78.0000,,,,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=7,gl=1,le=100,ge=1000,beta=-1.0"
pubmed,polynormer,none,,0.0,,123,2,79.2000,74.5000,,,,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=7,gl=1,le=100,ge=1000,beta=-1.0"
pubmed,polynormer,none,,0.0,,123,0,77.4000,77.0000,,,,,"lr=0.001,hid=64,do=0.7,wd=0.0005,heads=8,ll=7,gl=1,le=100,ge=1000,beta=-1.0"
pubmed,polynormer,none,,0.0,,123,1,77.2000,76.5000,,,,,"lr=0.001,hid=64,do=0.7,wd=0.0005,heads=8,ll=7,gl=1,le=100,ge=1000,beta=-1.0"
pubmed,polynormer,none,,0.0,,123,2,77.8000,76.4000,,,,,"lr=0.001,hid=64,do=0.7,wd=0.0005,heads=8,ll=7,gl=1,le=100,ge=1000,beta=-1.0"
pubmed,polynormer,none,,0.0,,123,0,80.2000,77.7000,,,,,"lr=0.001,hid=64,do=0.3,wd=0.0005,heads=8,ll=7,gl=2,le=100,ge=1000,beta=-1.0"
pubmed,polynormer,none,,0.0,,123,1,78.0000,75.8000,,,,,"lr=0.001,hid=64,do=0.3,wd=0.0005,heads=8,ll=7,gl=2,le=100,ge=1000,beta=-1.0"
pubmed,polynormer,none,,0.0,,123,2,78.8000,72.6000,,,,,"lr=0.001,hid=64,do=0.3,wd=0.0005,heads=8,ll=7,gl=2,le=100,ge=1000,beta=-1.0"
pubmed,polynormer,none,,0.0,,123,0,79.4000,78.0000,,,,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=7,gl=2,le=100,ge=1000,beta=-1.0"
pubmed,polynormer,none,,0.0,,123,1,78.6000,74.7000,,,,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=7,gl=2,le=100,ge=1000,beta=-1.0"
pubmed,polynormer,none,,0.0,,123,2,78.2000,76.5000,,,,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=7,gl=2,le=100,ge=1000,beta=-1.0"
pubmed,polynormer,none,,0.0,,123,0,76.8000,75.3000,,,,,"lr=0.001,hid=64,do=0.7,wd=0.0005,heads=8,ll=7,gl=2,le=100,ge=1000,beta=-1.0"
pubmed,polynormer,none,,0.0,,123,1,53.6000,55.8000,,,,,"lr=0.001,hid=64,do=0.7,wd=0.0005,heads=8,ll=7,gl=2,le=100,ge=1000,beta=-1.0"
pubmed,polynormer,none,,0.0,,123,2,77.6000,77.0000,,,,,"lr=0.001,hid=64,do=0.7,wd=0.0005,heads=8,ll=7,gl=2,le=100,ge=1000,beta=-1.0"
