dataset,model,reg_type,penalty_transform,lambda,mlp_epochs,seed,run,best_valid,test_at_best_valid,penalty_dist,offdiag_cv,mlp_acc,cooc_oracle_dist,config
amazon-photo,MPNN_gat,mlp,none,0.05,500,42,1,96.0131,96.2745,0.0,0.2913278043270111,0.8823529481887817,0.08733052760362625,"lr=0.001,hid=64,do=0.5,wd=5e-05,heads=1,ll=3,gnn=gat,ln=True,bn=False,res=True,jk=False,prelin=False"
amazon-photo,MPNN_gat,mlp,none,0.05,500,42,2,95.8170,96.9281,0.0,0.2779022753238678,0.8784313797950745,0.0870986133813858,"lr=0.001,hid=64,do=0.5,wd=5e-05,heads=1,ll=3,gnn=gat,ln=True,bn=False,res=True,jk=False,prelin=False"
amazon-photo,MPNN_gat,mlp,none,0.05,500,42,3,95.5556,96.6013,0.0,0.27929630875587463,0.8771241903305054,0.09533814340829849,"lr=0.001,hid=64,do=0.5,wd=5e-05,heads=1,ll=3,gnn=gat,ln=True,bn=False,res=True,jk=False,prelin=False"
amazon-photo,MPNN_gat,mlp,none,0.05,500,42,4,95.7516,96.4052,0.0,0.28488966822624207,0.8777778148651123,0.08341094851493835,"lr=0.001,hid=64,do=0.5,wd=5e-05,heads=1,ll=3,gnn=gat,ln=True,bn=False,res=True,jk=False,prelin=False"
amazon-photo,MPNN_gat,mlp,none,0.05,500,42,5,95.8170,96.5359,0.0,0.2784208059310913,0.8816993832588196,0.08972606807947159,"lr=0.001,hid=64,do=0.5,wd=5e-05,heads=1,ll=3,gnn=gat,ln=True,bn=False,res=True,jk=False,prelin=False"
amazon-photo,MPNN_gat,mlp,none,0.05,500,42,6,95.8823,96.5359,0.0,0.28406304121017456,0.8797385692596436,0.09435431659221649,"lr=0.001,hid=64,do=0.5,wd=5e-05,heads=1,ll=3,gnn=gat,ln=True,bn=False,res=True,jk=False,prelin=False"
amazon-photo,MPNN_gat,mlp,none,0.05,500,42,7,96.1438,96.2092,0.0,0.27072030305862427,0.8777778148651123,0.09467199444770813,"lr=0.001,hid=64,do=0.5,wd=5e-05,heads=1,ll=3,gnn=gat,ln=True,bn=False,res=True,jk=False,prelin=False"
amazon-photo,MPNN_gat,mlp,none,0.05,500,42,8,95.9477,96.6013,0.0,0.2944817543029785,0.8758170008659363,0.08640316873788834,"lr=0.001,hid=64,do=0.5,wd=5e-05,heads=1,ll=3,gnn=gat,ln=True,bn=False,res=True,jk=False,prelin=False"
amazon-photo,MPNN_gat,mlp,none,0.05,500,42,9,96.0784,96.7320,0.0,0.28274640440940857,0.8856209516525269,0.09836515039205551,"lr=0.001,hid=64,do=0.5,wd=5e-05,heads=1,ll=3,gnn=gat,ln=True,bn=False,res=True,jk=False,prelin=False"
amazon-photo,MPNN_gat,oracle,none,0.05,,42,0,96.0131,96.4706,0.0,0.3705296516418457,,,"lr=0.001,hid=64,do=0.5,wd=5e-05,heads=1,ll=3,gnn=gat,ln=True,bn=False,res=True,jk=False,prelin=False"
amazon-photo,MPNN_gat,oracle,none,0.05,,42,1,96.0784,96.2745,0.0,0.3705296516418457,,,"lr=0.001,hid=64,do=0.5,wd=5e-05,heads=1,ll=3,gnn=gat,ln=True,bn=False,res=True,jk=False,prelin=False"
amazon-photo,MPNN_gat,oracle,none,0.05,,42,2,95.8823,96.3399,0.0,0.3705296516418457,,,"lr=0.001,hid=64,do=0.5,wd=5e-05,heads=1,ll=3,gnn=gat,ln=True,bn=False,res=True,jk=False,prelin=False"
amazon-photo,MPNN_gat,oracle,none,0.05,,42,3,95.5556,96.2745,0.0,0.3705296516418457,,,"lr=0.001,hid=64,do=0.5,wd=5e-05,heads=1,ll=3,gnn=gat,ln=True,bn=False,res=True,jk=False,prelin=False"
amazon-photo,MPNN_gat,oracle,none,0.05,,42,4,95.8170,96.4706,0.0,0.3705296516418457,,,"lr=0.001,hid=64,do=0.5,wd=5e-05,heads=1,ll=3,gnn=gat,ln=True,bn=False,res=True,jk=False,prelin=False"
amazon-photo,MPNN_gat,oracle,none,0.05,,42,5,95.9477,96.4052,0.0,0.3705296516418457,,,"lr=0.001,hid=64,do=0.5,wd=5e-05,heads=1,ll=3,gnn=gat,ln=True,bn=False,res=True,jk=False,prelin=False"
amazon-photo,MPNN_gat,oracle,none,0.05,,42,6,95.8170,96.2745,0.0,0.3705296516418457,,,"lr=0.001,hid=64,do=0.5,wd=5e-05,heads=1,ll=3,gnn=gat,ln=True,bn=False,res=True,jk=False,prelin=False"
amazon-photo,MPNN_gat,oracle,none,0.05,,42,7,96.0131,96.2092,0.0,0.3705296516418457,,,"lr=0.001,hid=64,do=0.5,wd=5e-05,heads=1,ll=3,gnn=gat,ln=True,bn=False,res=True,jk=False,prelin=False"
amazon-photo,MPNN_gat,oracle,none,0.05,,42,8,95.9477,96.7320,0.0,0.3705296516418457,,,"lr=0.001,hid=64,do=0.5,wd=5e-05,heads=1,ll=3,gnn=gat,ln=True,bn=False,res=True,jk=False,prelin=False"
amazon-photo,MPNN_gat,oracle,none,0.05,,42,9,96.2092,96.7320,0.0,0.3705296516418457,,,"lr=0.001,hid=64,do=0.5,wd=5e-05,heads=1,ll=3,gnn=gat,ln=True,bn=False,res=True,jk=False,prelin=False"
amazon-photo,MPNN_gat,mlp,none,0.1,500,42,0,96.0131,96.4052,0.0,0.2842472791671753,0.8771241903305054,0.09933223575353622,"lr=0.001,hid=64,do=0.5,wd=5e-05,heads=1,ll=3,gnn=gat,ln=True,bn=False,res=True,jk=False,prelin=False"
amazon-photo,MPNN_gat,mlp,none,0.1,500,42,1,96.0784,96.7974,0.0,0.2913278043270111,0.8823529481887817,0.08733052760362625,"lr=0.001,hid=64,do=0.5,wd=5e-05,heads=1,ll=3,gnn=gat,ln=True,bn=False,res=True,jk=False,prelin=False"
amazon-photo,MPNN_gat,mlp,none,0.1,500,42,2,95.7516,96.6013,0.0,0.2779022753238678,0.8784313797950745,0.0870986133813858,"lr=0.001,hid=64,do=0.5,wd=5e-05,heads=1,ll=3,gnn=gat,ln=True,bn=False,res=True,jk=False,prelin=False"
amazon-photo,MPNN_gat,mlp,none,0.1,500,42,3,95.6863,96.6667,0.0,0.27929630875587463,0.8771241903305054,0.09533814340829849,"lr=0.001,hid=64,do=0.5,wd=5e-05,heads=1,ll=3,gnn=gat,ln=True,bn=False,res=True,jk=False,prelin=False"
amazon-photo,MPNN_gat,mlp,none,0.1,500,42,4,95.9477,96.2092,0.0,0.28488966822624207,0.8777778148651123,0.08341094851493835,"lr=0.001,hid=64,do=0.5,wd=5e-05,heads=1,ll=3,gnn=gat,ln=True,bn=False,res=True,jk=False,prelin=False"
amazon-photo,MPNN_gat,mlp,none,0.1,500,42,5,95.8823,96.2745,0.0,0.2784208059310913,0.8816993832588196,0.08972606807947159,"lr=0.001,hid=64,do=0.5,wd=5e-05,heads=1,ll=3,gnn=gat,ln=True,bn=False,res=True,jk=False,prelin=False"
amazon-photo,MPNN_gat,mlp,none,0.1,500,42,6,95.9477,95.8170,0.0,0.28406304121017456,0.8797385692596436,0.09435431659221649,"lr=0.001,hid=64,do=0.5,wd=5e-05,heads=1,ll=3,gnn=gat,ln=True,bn=False,res=True,jk=False,prelin=False"
amazon-photo,MPNN_gat,mlp,none,0.1,500,42,7,95.9477,96.4706,0.0,0.27072030305862427,0.8777778148651123,0.09467199444770813,"lr=0.001,hid=64,do=0.5,wd=5e-05,heads=1,ll=3,gnn=gat,ln=True,bn=False,res=True,jk=False,prelin=False"
amazon-photo,MPNN_gat,mlp,none,0.1,500,42,8,95.9477,96.7974,0.0,0.2944817543029785,0.8758170008659363,0.08640316873788834,"lr=0.001,hid=64,do=0.5,wd=5e-05,heads=1,ll=3,gnn=gat,ln=True,bn=False,res=True,jk=False,prelin=False"
amazon-photo,MPNN_gat,mlp,none,0.1,500,42,9,96.0131,96.6013,0.0,0.28274640440940857,0.8856209516525269,0.09836515039205551,"lr=0.001,hid=64,do=0.5,wd=5e-05,heads=1,ll=3,gnn=gat,ln=True,bn=False,res=True,jk=False,prelin=False"
amazon-photo,MPNN_gat,oracle,none,0.1,,42,0,96.0131,96.4706,0.0,0.3705296516418457,,,"lr=0.001,hid=64,do=0.5,wd=5e-05,heads=1,ll=3,gnn=gat,ln=True,bn=False,res=True,jk=False,prelin=False"
amazon-photo,MPNN_gat,oracle,none,0.1,,42,1,96.1438,96.0784,0.0,0.3705296516418457,,,"lr=0.001,hid=64,do=0.5,wd=5e-05,heads=1,ll=3,gnn=gat,ln=True,bn=False,res=True,jk=False,prelin=False"
amazon-photo,MPNN_gat,oracle,none,0.1,,42,2,95.8170,96.7974,0.0,0.3705296516418457,,,"lr=0.001,hid=64,do=0.5,wd=5e-05,heads=1,ll=3,gnn=gat,ln=True,bn=False,res=True,jk=False,prelin=False"
amazon-photo,MPNN_gat,oracle,none,0.1,,42,3,95.6863,96.4052,0.0,0.3705296516418457,,,"lr=0.001,hid=64,do=0.5,wd=5e-05,heads=1,ll=3,gnn=gat,ln=True,bn=False,res=True,jk=False,prelin=False"
amazon-photo,MPNN_gat,oracle,none,0.1,,42,4,95.8823,96.5359,0.0,0.3705296516418457,,,"lr=0.001,hid=64,do=0.5,wd=5e-05,heads=1,ll=3,gnn=gat,ln=True,bn=False,res=True,jk=False,prelin=False"
amazon-photo,MPNN_gat,oracle,none,0.1,,42,5,95.8170,96.4706,0.0,0.3705296516418457,,,"lr=0.001,hid=64,do=0.5,wd=5e-05,heads=1,ll=3,gnn=gat,ln=True,bn=False,res=True,jk=False,prelin=False"
amazon-photo,MPNN_gat,oracle,none,0.1,,42,6,95.9477,96.3399,0.0,0.3705296516418457,,,"lr=0.001,hid=64,do=0.5,wd=5e-05,heads=1,ll=3,gnn=gat,ln=True,bn=False,res=True,jk=False,prelin=False"
amazon-photo,MPNN_gat,oracle,none,0.1,,42,7,96.0131,96.3399,0.0,0.3705296516418457,,,"lr=0.001,hid=64,do=0.5,wd=5e-05,heads=1,ll=3,gnn=gat,ln=True,bn=False,res=True,jk=False,prelin=False"
amazon-photo,MPNN_gat,oracle,none,0.1,,42,8,95.8823,96.7320,0.0,0.3705296516418457,,,"lr=0.001,hid=64,do=0.5,wd=5e-05,heads=1,ll=3,gnn=gat,ln=True,bn=False,res=True,jk=False,prelin=False"
amazon-photo,MPNN_gat,oracle,none,0.1,,42,9,96.2092,96.6013,0.0,0.3705296516418457,,,"lr=0.001,hid=64,do=0.5,wd=5e-05,heads=1,ll=3,gnn=gat,ln=True,bn=False,res=True,jk=False,prelin=False"
amazon-photo,MPNN_gat,mlp,none,0.2,500,42,0,96.0131,96.2092,0.0,0.2842472791671753,0.8771241903305054,0.09933223575353622,"lr=0.001,hid=64,do=0.5,wd=5e-05,heads=1,ll=3,gnn=gat,ln=True,bn=False,res=True,jk=False,prelin=False"
amazon-photo,MPNN_gat,mlp,none,0.2,500,42,1,96.0784,96.6013,0.0,0.2913278043270111,0.8823529481887817,0.08733052760362625,"lr=0.001,hid=64,do=0.5,wd=5e-05,heads=1,ll=3,gnn=gat,ln=True,bn=False,res=True,jk=False,prelin=False"
amazon-photo,MPNN_gat,mlp,none,0.2,500,42,2,96.0131,96.7974,0.0,0.2779022753238678,0.8784313797950745,0.0870986133813858,"lr=0.001,hid=64,do=0.5,wd=5e-05,heads=1,ll=3,gnn=gat,ln=True,bn=False,res=True,jk=False,prelin=False"
amazon-photo,MPNN_gat,mlp,none,0.2,500,42,3,95.6863,96.3399,0.0,0.27929630875587463,0.8771241903305054,0.09533814340829849,"lr=0.001,hid=64,do=0.5,wd=5e-05,heads=1,ll=3,gnn=gat,ln=True,bn=False,res=True,jk=False,prelin=False"
amazon-photo,MPNN_gat,mlp,none,0.2,500,42,4,95.8170,96.5359,0.0,0.28488966822624207,0.8777778148651123,0.08341094851493835,"lr=0.001,hid=64,do=0.5,wd=5e-05,heads=1,ll=3,gnn=gat,ln=True,bn=False,res=True,jk=False,prelin=False"
amazon-photo,MPNN_gat,mlp,none,0.2,500,42,5,95.9477,96.4052,0.0,0.2784208059310913,0.8816993832588196,0.08972606807947159,"lr=0.001,hid=64,do=0.5,wd=5e-05,heads=1,ll=3,gnn=gat,ln=True,bn=False,res=True,jk=False,prelin=False"
amazon-photo,MPNN_gat,mlp,none,0.2,500,42,6,96.0131,96.0131,0.0,0.28406304121017456,0.8797385692596436,0.09435431659221649,"lr=0.001,hid=64,do=0.5,wd=5e-05,heads=1,ll=3,gnn=gat,ln=True,bn=False,res=True,jk=False,prelin=False"
amazon-photo,MPNN_gat,mlp,none,0.2,500,42,7,95.9477,96.6013,0.0,0.27072030305862427,0.8777778148651123,0.09467199444770813,"lr=0.001,hid=64,do=0.5,wd=5e-05,heads=1,ll=3,gnn=gat,ln=True,bn=False,res=True,jk=False,prelin=False"
amazon-photo,MPNN_gat,mlp,none,0.2,500,42,8,95.8823,96.6013,0.0,0.2944817543029785,0.8758170008659363,0.08640316873788834,"lr=0.001,hid=64,do=0.5,wd=5e-05,heads=1,ll=3,gnn=gat,ln=True,bn=False,res=True,jk=False,prelin=False"
amazon-photo,MPNN_gat,mlp,none,0.2,500,42,9,96.0131,96.7320,0.0,0.28274640440940857,0.8856209516525269,0.09836515039205551,"lr=0.001,hid=64,do=0.5,wd=5e-05,heads=1,ll=3,gnn=gat,ln=True,bn=False,res=True,jk=False,prelin=False"
amazon-photo,MPNN_gat,oracle,none,0.2,,42,0,96.0784,96.6013,0.0,0.3705296516418457,,,"lr=0.001,hid=64,do=0.5,wd=5e-05,heads=1,ll=3,gnn=gat,ln=True,bn=False,res=True,jk=False,prelin=False"
amazon-photo,MPNN_gat,oracle,none,0.2,,42,1,96.0131,96.4052,0.0,0.3705296516418457,,,"lr=0.001,hid=64,do=0.5,wd=5e-05,heads=1,ll=3,gnn=gat,ln=True,bn=False,res=True,jk=False,prelin=False"
amazon-photo,MPNN_gat,oracle,none,0.2,,42,2,95.8823,96.9281,0.0,0.3705296516418457,,,"lr=0.001,hid=64,do=0.5,wd=5e-05,heads=1,ll=3,gnn=gat,ln=True,bn=False,res=True,jk=False,prelin=False"
amazon-photo,MPNN_gat,oracle,none,0.2,,42,3,95.7516,96.3399,0.0,0.3705296516418457,,,"lr=0.001,hid=64,do=0.5,wd=5e-05,heads=1,ll=3,gnn=gat,ln=True,bn=False,res=True,jk=False,prelin=False"
amazon-photo,MPNN_gat,oracle,none,0.2,,42,4,95.8823,96.6013,0.0,0.3705296516418457,,,"lr=0.001,hid=64,do=0.5,wd=5e-05,heads=1,ll=3,gnn=gat,ln=True,bn=False,res=True,jk=False,prelin=False"
amazon-photo,MPNN_gat,oracle,none,0.2,,42,5,95.8170,96.5359,0.0,0.3705296516418457,,,"lr=0.001,hid=64,do=0.5,wd=5e-05,heads=1,ll=3,gnn=gat,ln=True,bn=False,res=True,jk=False,prelin=False"
amazon-photo,MPNN_gat,oracle,none,0.2,,42,6,96.0131,96.3399,0.0,0.3705296516418457,,,"lr=0.001,hid=64,do=0.5,wd=5e-05,heads=1,ll=3,gnn=gat,ln=True,bn=False,res=True,jk=False,prelin=False"
amazon-photo,MPNN_gat,oracle,none,0.2,,42,7,96.0131,96.4052,0.0,0.3705296516418457,,,"lr=0.001,hid=64,do=0.5,wd=5e-05,heads=1,ll=3,gnn=gat,ln=True,bn=False,res=True,jk=False,prelin=False"
amazon-photo,MPNN_gat,oracle,none,0.2,,42,8,95.8823,96.4706,0.0,0.3705296516418457,,,"lr=0.001,hid=64,do=0.5,wd=5e-05,heads=1,ll=3,gnn=gat,ln=True,bn=False,res=True,jk=False,prelin=False"
amazon-photo,MPNN_gat,oracle,none,0.2,,42,9,96.0131,96.4706,0.0,0.3705296516418457,,,"lr=0.001,hid=64,do=0.5,wd=5e-05,heads=1,ll=3,gnn=gat,ln=True,bn=False,res=True,jk=False,prelin=False"
amazon-photo,MPNN_gat,mlp,none,0.4,500,42,0,95.8823,96.2745,0.0,0.2842472791671753,0.8771241903305054,0.09933223575353622,"lr=0.001,hid=64,do=0.5,wd=5e-05,heads=1,ll=3,gnn=gat,ln=True,bn=False,res=True,jk=False,prelin=False"
amazon-photo,MPNN_gat,mlp,none,0.4,500,42,1,96.1438,96.5359,0.0,0.2913278043270111,0.8823529481887817,0.08733052760362625,"lr=0.001,hid=64,do=0.5,wd=5e-05,heads=1,ll=3,gnn=gat,ln=True,bn=False,res=True,jk=False,prelin=False"
amazon-photo,MPNN_gat,mlp,none,0.4,500,42,2,95.8823,96.6667,0.0,0.2779022753238678,0.8784313797950745,0.0870986133813858,"lr=0.001,hid=64,do=0.5,wd=5e-05,heads=1,ll=3,gnn=gat,ln=True,bn=False,res=True,jk=False,prelin=False"
amazon-photo,MPNN_gat,mlp,none,0.4,500,42,3,95.7516,96.7320,0.0,0.27929630875587463,0.8771241903305054,0.09533814340829849,"lr=0.001,hid=64,do=0.5,wd=5e-05,heads=1,ll=3,gnn=gat,ln=True,bn=False,res=True,jk=False,prelin=False"
amazon-photo,MPNN_gat,mlp,none,0.4,500,42,4,95.6863,96.6667,0.0,0.28488966822624207,0.8777778148651123,0.08341094851493835,"lr=0.001,hid=64,do=0.5,wd=5e-05,heads=1,ll=3,gnn=gat,ln=True,bn=False,res=True,jk=False,prelin=False"
amazon-photo,MPNN_gat,mlp,none,0.4,500,42,5,95.7516,96.2745,0.0,0.2784208059310913,0.8816993832588196,0.08972606807947159,"lr=0.001,hid=64,do=0.5,wd=5e-05,heads=1,ll=3,gnn=gat,ln=True,bn=False,res=True,jk=False,prelin=False"
amazon-photo,MPNN_gat,mlp,none,0.4,500,42,6,95.9477,95.8170,0.0,0.28406304121017456,0.8797385692596436,0.09435431659221649,"lr=0.001,hid=64,do=0.5,wd=5e-05,heads=1,ll=3,gnn=gat,ln=True,bn=False,res=True,jk=False,prelin=False"
amazon-photo,MPNN_gat,mlp,none,0.4,500,42,7,95.9477,96.5359,0.0,0.27072030305862427,0.8777778148651123,0.09467199444770813,"lr=0.001,hid=64,do=0.5,wd=5e-05,heads=1,ll=3,gnn=gat,ln=True,bn=False,res=True,jk=False,prelin=False"
amazon-photo,MPNN_gat,mlp,none,0.4,500,42,8,95.8170,96.2092,0.0,0.2944817543029785,0.8758170008659363,0.08640316873788834,"lr=0.001,hid=64,do=0.5,wd=5e-05,heads=1,ll=3,gnn=gat,ln=True,bn=False,res=True,jk=False,prelin=False"
amazon-photo,MPNN_gat,mlp,none,0.4,500,42,9,96.0784,96.2092,0.0,0.28274640440940857,0.8856209516525269,0.09836515039205551,"lr=0.001,hid=64,do=0.5,wd=5e-05,heads=1,ll=3,gnn=gat,ln=True,bn=False,res=True,jk=False,prelin=False"
amazon-photo,MPNN_gat,oracle,none,0.4,,42,0,96.0131,96.4052,0.0,0.3705296516418457,,,"lr=0.001,hid=64,do=0.5,wd=5e-05,heads=1,ll=3,gnn=gat,ln=True,bn=False,res=True,jk=False,prelin=False"
amazon-photo,MPNN_gat,oracle,none,0.4,,42,1,96.0131,96.2745,0.0,0.3705296516418457,,,"lr=0.001,hid=64,do=0.5,wd=5e-05,heads=1,ll=3,gnn=gat,ln=True,bn=False,res=True,jk=False,prelin=False"
amazon-photo,MPNN_gat,oracle,none,0.4,,42,2,95.8170,96.6013,0.0,0.3705296516418457,,,"lr=0.001,hid=64,do=0.5,wd=5e-05,heads=1,ll=3,gnn=gat,ln=True,bn=False,res=True,jk=False,prelin=False"
amazon-photo,MPNN_gat,oracle,none,0.4,,42,3,95.6209,96.6013,0.0,0.3705296516418457,,,"lr=0.001,hid=64,do=0.5,wd=5e-05,heads=1,ll=3,gnn=gat,ln=True,bn=False,res=True,jk=False,prelin=False"
