dataset,model,reg_type,penalty_transform,lambda,mlp_epochs,seed,run,best_valid,test_at_best_valid,penalty_dist,offdiag_cv,mlp_acc,cooc_oracle_dist,budget,n_prior_edges,config
coauthor-cs,MPNN_gcn,count,none,0.05,,42,4,93.0169,94.1930,0.0,0.15950554609298706,,0.5048331022262573,50,374,"lr=0.001,hid=512,do=0.3,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=True,bn=False,res=True,jk=False,prelin=False"
coauthor-cs,MPNN_gcn,count,none,0.05,,42,5,92.7987,94.0022,0.0,0.14536932110786438,,0.45004531741142273,50,392,"lr=0.001,hid=512,do=0.3,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=True,bn=False,res=True,jk=False,prelin=False"
coauthor-cs,MPNN_gcn,count,none,0.05,,42,6,93.7261,94.5202,0.0,0.15524877607822418,,0.4356805086135864,50,422,"lr=0.001,hid=512,do=0.3,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=True,bn=False,res=True,jk=False,prelin=False"
coauthor-cs,MPNN_gcn,count,none,0.05,,42,7,93.0442,94.0022,0.0,0.1704878807067871,,0.5643898248672485,50,386,"lr=0.001,hid=512,do=0.3,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=True,bn=False,res=True,jk=False,prelin=False"
coauthor-cs,MPNN_gcn,count,none,0.05,,42,8,93.4261,94.1930,0.0,0.13936777412891388,,0.46920642256736755,50,352,"lr=0.001,hid=512,do=0.3,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=True,bn=False,res=True,jk=False,prelin=False"
coauthor-cs,MPNN_gcn,count,none,0.05,,42,9,93.3170,93.9204,0.0,0.14659252762794495,,0.4773116707801819,50,364,"lr=0.001,hid=512,do=0.3,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=True,bn=False,res=True,jk=False,prelin=False"
coauthor-cs,MPNN_gcn,mlp,none,0.01,500,42,0,93.2624,94.2203,0.0,0.18760952353477478,0.887343168258667,0.408403605222702,50,,"lr=0.001,hid=512,do=0.3,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=True,bn=False,res=True,jk=False,prelin=False"
coauthor-cs,MPNN_gcn,mlp,none,0.01,500,42,1,93.0987,93.9477,0.0,0.18773315846920013,0.8878887295722961,0.41117212176322937,50,,"lr=0.001,hid=512,do=0.3,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=True,bn=False,res=True,jk=False,prelin=False"
coauthor-cs,MPNN_gcn,mlp,none,0.01,500,42,2,93.0715,94.4111,0.0,0.1866530030965805,0.8799781799316406,0.4163082540035248,50,,"lr=0.001,hid=512,do=0.3,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=True,bn=False,res=True,jk=False,prelin=False"
coauthor-cs,MPNN_gcn,mlp,none,0.01,500,42,3,92.9351,93.5115,0.0,0.1896745264530182,0.8919803500175476,0.40309271216392517,50,,"lr=0.001,hid=512,do=0.3,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=True,bn=False,res=True,jk=False,prelin=False"
coauthor-cs,MPNN_gcn,mlp,none,0.01,500,42,4,92.9624,94.1658,0.0,0.18640752136707306,0.8837970495223999,0.42536917328834534,50,,"lr=0.001,hid=512,do=0.3,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=True,bn=False,res=True,jk=False,prelin=False"
coauthor-cs,MPNN_gcn,mlp,none,0.01,500,42,5,92.7169,94.0567,0.0,0.18965475261211395,0.890070915222168,0.40619713068008423,50,,"lr=0.001,hid=512,do=0.3,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=True,bn=False,res=True,jk=False,prelin=False"
coauthor-cs,MPNN_gcn,mlp,none,0.01,500,42,6,93.8080,94.4657,0.0,0.1868777722120285,0.8922531604766846,0.4179592728614807,50,,"lr=0.001,hid=512,do=0.3,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=True,bn=False,res=True,jk=False,prelin=False"
coauthor-cs,MPNN_gcn,mlp,none,0.01,500,42,7,93.0987,94.0567,0.0,0.18669840693473816,0.8870704174041748,0.41775795817375183,50,,"lr=0.001,hid=512,do=0.3,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=True,bn=False,res=True,jk=False,prelin=False"
coauthor-cs,MPNN_gcn,mlp,none,0.01,500,42,8,93.3715,94.3293,0.0,0.18987007439136505,0.8949809074401855,0.41605469584465027,50,,"lr=0.001,hid=512,do=0.3,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=True,bn=False,res=True,jk=False,prelin=False"
coauthor-cs,MPNN_gcn,mlp,none,0.01,500,42,9,93.2624,94.4384,0.0,0.18272623419761658,0.8917075991630554,0.42282038927078247,50,,"lr=0.001,hid=512,do=0.3,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=True,bn=False,res=True,jk=False,prelin=False"
coauthor-cs,MPNN_gcn,oracle,none,0.01,,42,0,93.2079,94.0294,0.0,0.43668240308761597,,,50,,"lr=0.001,hid=512,do=0.3,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=True,bn=False,res=True,jk=False,prelin=False"
coauthor-cs,MPNN_gcn,oracle,none,0.01,,42,1,93.1533,94.0022,0.0,0.43668240308761597,,,50,,"lr=0.001,hid=512,do=0.3,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=True,bn=False,res=True,jk=False,prelin=False"
