dataset,model,reg_type,penalty_transform,lambda,mlp_epochs,seed,run,best_valid,test_at_best_valid,penalty_dist,offdiag_cv,mlp_acc,cooc_oracle_dist,budget,n_prior_edges,config
amazon-computer,MPNN_gcn,mlp,none,0.01,500,42,9,94.0000,72.9553,0.0,0.20442597568035126,0.4399999976158142,0.8592764139175415,5,,"lr=0.001,hid=512,do=0.5,wd=5e-05,heads=1,ll=3,gnn=gcn,ln=True,bn=False,res=False,jk=False,prelin=False,vpc=5"
amazon-computer,MPNN_gcn,mlp,none,0.05,500,42,0,84.0000,79.5711,0.0,0.2271968573331833,0.5399999618530273,0.8592913150787354,5,,"lr=0.001,hid=512,do=0.5,wd=5e-05,heads=1,ll=3,gnn=gcn,ln=True,bn=False,res=False,jk=False,prelin=False,vpc=5"
amazon-computer,MPNN_gcn,mlp,none,0.05,500,42,1,94.0000,74.2639,0.0,0.21496249735355377,0.5799999833106995,0.9206238389015198,5,,"lr=0.001,hid=512,do=0.5,wd=5e-05,heads=1,ll=3,gnn=gcn,ln=True,bn=False,res=False,jk=False,prelin=False,vpc=5"
amazon-computer,MPNN_gcn,mlp,none,0.05,500,42,2,92.0000,79.1712,0.0,0.2304374724626541,0.5199999809265137,0.9648534059524536,5,,"lr=0.001,hid=512,do=0.5,wd=5e-05,heads=1,ll=3,gnn=gcn,ln=True,bn=False,res=False,jk=False,prelin=False,vpc=5"
amazon-computer,MPNN_gcn,mlp,none,0.05,500,42,3,86.0000,79.6801,0.0,0.20946520566940308,0.3999999761581421,0.898353099822998,5,,"lr=0.001,hid=512,do=0.5,wd=5e-05,heads=1,ll=3,gnn=gcn,ln=True,bn=False,res=False,jk=False,prelin=False,vpc=5"
amazon-computer,MPNN_gcn,mlp,none,0.05,500,42,4,92.0000,74.6274,0.0,0.19724614918231964,0.3999999761581421,0.8615959286689758,5,,"lr=0.001,hid=512,do=0.5,wd=5e-05,heads=1,ll=3,gnn=gcn,ln=True,bn=False,res=False,jk=False,prelin=False,vpc=5"
amazon-computer,MPNN_gcn,mlp,none,0.05,500,42,5,90.0000,77.1356,0.0,0.23692800104618073,0.4399999976158142,0.8936044573783875,5,,"lr=0.001,hid=512,do=0.5,wd=5e-05,heads=1,ll=3,gnn=gcn,ln=True,bn=False,res=False,jk=False,prelin=False,vpc=5"
amazon-computer,MPNN_gcn,mlp,none,0.05,500,42,6,90.0000,72.1556,0.0,0.17670391499996185,0.35999998450279236,0.8700471520423889,5,,"lr=0.001,hid=512,do=0.5,wd=5e-05,heads=1,ll=3,gnn=gcn,ln=True,bn=False,res=False,jk=False,prelin=False,vpc=5"
amazon-computer,MPNN_gcn,mlp,none,0.05,500,42,7,84.0000,81.9338,0.0,0.25152429938316345,0.35999998450279236,0.9539154767990112,5,,"lr=0.001,hid=512,do=0.5,wd=5e-05,heads=1,ll=3,gnn=gcn,ln=True,bn=False,res=False,jk=False,prelin=False,vpc=5"
amazon-computer,MPNN_gcn,mlp,none,0.05,500,42,8,84.0000,70.8470,0.0,0.22253651916980743,0.5999999642372131,0.8571599721908569,5,,"lr=0.001,hid=512,do=0.5,wd=5e-05,heads=1,ll=3,gnn=gcn,ln=True,bn=False,res=False,jk=False,prelin=False,vpc=5"
amazon-computer,MPNN_gcn,mlp,none,0.05,500,42,9,92.0000,72.1192,0.0,0.20442597568035126,0.4399999976158142,0.8592764139175415,5,,"lr=0.001,hid=512,do=0.5,wd=5e-05,heads=1,ll=3,gnn=gcn,ln=True,bn=False,res=False,jk=False,prelin=False,vpc=5"
amazon-computer,MPNN_gcn,mlp,none,0.1,500,42,0,84.0000,79.2076,0.0,0.2271968573331833,0.5399999618530273,0.8592913150787354,5,,"lr=0.001,hid=512,do=0.5,wd=5e-05,heads=1,ll=3,gnn=gcn,ln=True,bn=False,res=False,jk=False,prelin=False,vpc=5"
amazon-computer,MPNN_gcn,mlp,none,0.1,500,42,1,94.0000,71.2105,0.0,0.21496249735355377,0.5799999833106995,0.9206238389015198,5,,"lr=0.001,hid=512,do=0.5,wd=5e-05,heads=1,ll=3,gnn=gcn,ln=True,bn=False,res=False,jk=False,prelin=False,vpc=5"
amazon-computer,MPNN_gcn,mlp,none,0.1,500,42,2,90.0000,80.8433,0.0,0.2304374724626541,0.5199999809265137,0.9648534059524536,5,,"lr=0.001,hid=512,do=0.5,wd=5e-05,heads=1,ll=3,gnn=gcn,ln=True,bn=False,res=False,jk=False,prelin=False,vpc=5"
amazon-computer,MPNN_gcn,mlp,none,0.1,500,42,3,88.0000,78.0807,0.0,0.20946520566940308,0.3999999761581421,0.898353099822998,5,,"lr=0.001,hid=512,do=0.5,wd=5e-05,heads=1,ll=3,gnn=gcn,ln=True,bn=False,res=False,jk=False,prelin=False,vpc=5"
amazon-computer,MPNN_gcn,mlp,none,0.1,500,42,4,92.0000,75.2090,0.0,0.19724614918231964,0.3999999761581421,0.8615959286689758,5,,"lr=0.001,hid=512,do=0.5,wd=5e-05,heads=1,ll=3,gnn=gcn,ln=True,bn=False,res=False,jk=False,prelin=False,vpc=5"
amazon-computer,MPNN_gcn,mlp,none,0.1,500,42,5,90.0000,79.0985,0.0,0.23692800104618073,0.4399999976158142,0.8936044573783875,5,,"lr=0.001,hid=512,do=0.5,wd=5e-05,heads=1,ll=3,gnn=gcn,ln=True,bn=False,res=False,jk=False,prelin=False,vpc=5"
amazon-computer,MPNN_gcn,mlp,none,0.1,500,42,6,90.0000,72.3010,0.0,0.17670391499996185,0.35999998450279236,0.8700471520423889,5,,"lr=0.001,hid=512,do=0.5,wd=5e-05,heads=1,ll=3,gnn=gcn,ln=True,bn=False,res=False,jk=False,prelin=False,vpc=5"
amazon-computer,MPNN_gcn,mlp,none,0.1,500,42,7,86.0000,79.4620,0.0,0.25152429938316345,0.35999998450279236,0.9539154767990112,5,,"lr=0.001,hid=512,do=0.5,wd=5e-05,heads=1,ll=3,gnn=gcn,ln=True,bn=False,res=False,jk=False,prelin=False,vpc=5"
amazon-computer,MPNN_gcn,mlp,none,0.1,500,42,8,84.0000,74.9546,0.0,0.22253651916980743,0.5999999642372131,0.8571599721908569,5,,"lr=0.001,hid=512,do=0.5,wd=5e-05,heads=1,ll=3,gnn=gcn,ln=True,bn=False,res=False,jk=False,prelin=False,vpc=5"
amazon-computer,MPNN_gcn,mlp,none,0.1,500,42,9,96.0000,72.5554,0.0,0.20442597568035126,0.4399999976158142,0.8592764139175415,5,,"lr=0.001,hid=512,do=0.5,wd=5e-05,heads=1,ll=3,gnn=gcn,ln=True,bn=False,res=False,jk=False,prelin=False,vpc=5"
amazon-computer,MPNN_gcn,mlp,none,0.2,500,42,0,84.0000,76.9175,0.0,0.2271968573331833,0.5399999618530273,0.8592913150787354,5,,"lr=0.001,hid=512,do=0.5,wd=5e-05,heads=1,ll=3,gnn=gcn,ln=True,bn=False,res=False,jk=False,prelin=False,vpc=5"
amazon-computer,MPNN_gcn,mlp,none,0.2,500,42,1,94.0000,71.2105,0.0,0.21496249735355377,0.5799999833106995,0.9206238389015198,5,,"lr=0.001,hid=512,do=0.5,wd=5e-05,heads=1,ll=3,gnn=gcn,ln=True,bn=False,res=False,jk=False,prelin=False,vpc=5"
amazon-computer,MPNN_gcn,mlp,none,0.2,500,42,2,90.0000,81.8248,0.0,0.2304374724626541,0.5199999809265137,0.9648534059524536,5,,"lr=0.001,hid=512,do=0.5,wd=5e-05,heads=1,ll=3,gnn=gcn,ln=True,bn=False,res=False,jk=False,prelin=False,vpc=5"
amazon-computer,MPNN_gcn,mlp,none,0.2,500,42,3,88.0000,79.2803,0.0,0.20946520566940308,0.3999999761581421,0.898353099822998,5,,"lr=0.001,hid=512,do=0.5,wd=5e-05,heads=1,ll=3,gnn=gcn,ln=True,bn=False,res=False,jk=False,prelin=False,vpc=5"
amazon-computer,MPNN_gcn,mlp,none,0.2,500,42,4,90.0000,75.4635,0.0,0.19724614918231964,0.3999999761581421,0.8615959286689758,5,,"lr=0.001,hid=512,do=0.5,wd=5e-05,heads=1,ll=3,gnn=gcn,ln=True,bn=False,res=False,jk=False,prelin=False,vpc=5"
amazon-computer,MPNN_gcn,mlp,none,0.2,500,42,5,90.0000,79.5711,0.0,0.23692800104618073,0.4399999976158142,0.8936044573783875,5,,"lr=0.001,hid=512,do=0.5,wd=5e-05,heads=1,ll=3,gnn=gcn,ln=True,bn=False,res=False,jk=False,prelin=False,vpc=5"
amazon-computer,MPNN_gcn,mlp,none,0.2,500,42,6,90.0000,74.5184,0.0,0.17670391499996185,0.35999998450279236,0.8700471520423889,5,,"lr=0.001,hid=512,do=0.5,wd=5e-05,heads=1,ll=3,gnn=gcn,ln=True,bn=False,res=False,jk=False,prelin=False,vpc=5"
amazon-computer,MPNN_gcn,mlp,none,0.2,500,42,7,84.0000,78.1898,0.0,0.25152429938316345,0.35999998450279236,0.9539154767990112,5,,"lr=0.001,hid=512,do=0.5,wd=5e-05,heads=1,ll=3,gnn=gcn,ln=True,bn=False,res=False,jk=False,prelin=False,vpc=5"
amazon-computer,MPNN_gcn,mlp,none,0.2,500,42,8,84.0000,75.8633,0.0,0.22253651916980743,0.5999999642372131,0.8571599721908569,5,,"lr=0.001,hid=512,do=0.5,wd=5e-05,heads=1,ll=3,gnn=gcn,ln=True,bn=False,res=False,jk=False,prelin=False,vpc=5"
