dataset,model,reg_type,penalty_transform,lambda,mlp_epochs,seed,run,best_valid,test_at_best_valid,penalty_dist,offdiag_cv,mlp_acc,cooc_oracle_dist,budget,n_prior_edges,config
citeseer,polynormer,mlp,none,0.05,500,123,2,56.6667,61.4000,0.0,0.05641865357756615,0.2666666805744171,0.8025211095809937,10,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=7,gl=2,le=100,ge=1000,beta=-1.0,vpc=10"
citeseer,polynormer,mlp,none,0.05,500,123,3,65.0000,57.5000,0.0,0.08313634246587753,0.36666667461395264,0.7971943020820618,10,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=7,gl=2,le=100,ge=1000,beta=-1.0,vpc=10"
citeseer,polynormer,mlp,none,0.05,500,123,4,61.6667,61.8000,0.0,0.0439608171582222,0.30000001192092896,0.7981855869293213,10,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=7,gl=2,le=100,ge=1000,beta=-1.0,vpc=10"
citeseer,polynormer,mlp,none,0.05,500,123,5,66.6667,55.6000,0.0,0.07492680102586746,0.31666669249534607,0.8016663789749146,10,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=7,gl=2,le=100,ge=1000,beta=-1.0,vpc=10"
citeseer,polynormer,mlp,none,0.05,500,123,6,56.6667,60.8000,0.0,0.060235120356082916,0.25,0.7967391014099121,10,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=7,gl=2,le=100,ge=1000,beta=-1.0,vpc=10"
citeseer,polynormer,mlp,none,0.05,500,123,7,63.3333,62.4000,0.0,0.03958232328295708,0.28333336114883423,0.7886512279510498,10,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=7,gl=2,le=100,ge=1000,beta=-1.0,vpc=10"
citeseer,polynormer,mlp,none,0.05,500,123,8,63.3333,64.9000,0.0,0.04058143123984337,0.1666666716337204,0.800685703754425,10,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=7,gl=2,le=100,ge=1000,beta=-1.0,vpc=10"
citeseer,polynormer,mlp,none,0.05,500,123,9,70.0000,60.4000,0.0,0.061760470271110535,0.28333336114883423,0.8005098700523376,10,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=7,gl=2,le=100,ge=1000,beta=-1.0,vpc=10"
citeseer,polynormer,mlp,none,0.1,500,123,0,63.3333,59.2000,0.0,0.05036524310708046,0.2666666805744171,0.8044536709785461,10,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=7,gl=2,le=100,ge=1000,beta=-1.0,vpc=10"
citeseer,polynormer,mlp,none,0.1,500,123,1,66.6667,60.9000,0.0,0.04576863348484039,0.3333333432674408,0.7950672507286072,10,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=7,gl=2,le=100,ge=1000,beta=-1.0,vpc=10"
citeseer,polynormer,mlp,none,0.1,500,123,2,55.0000,58.1000,0.0,0.05641865357756615,0.2666666805744171,0.8025211095809937,10,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=7,gl=2,le=100,ge=1000,beta=-1.0,vpc=10"
citeseer,polynormer,mlp,none,0.1,500,123,3,68.3333,63.9000,0.0,0.08313634246587753,0.36666667461395264,0.7971943020820618,10,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=7,gl=2,le=100,ge=1000,beta=-1.0,vpc=10"
citeseer,polynormer,mlp,none,0.1,500,123,4,61.6667,64.3000,0.0,0.0439608171582222,0.30000001192092896,0.7981855869293213,10,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=7,gl=2,le=100,ge=1000,beta=-1.0,vpc=10"
citeseer,polynormer,mlp,none,0.1,500,123,5,63.3333,61.4000,0.0,0.07492680102586746,0.31666669249534607,0.8016663789749146,10,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=7,gl=2,le=100,ge=1000,beta=-1.0,vpc=10"
citeseer,polynormer,mlp,none,0.1,500,123,6,60.0000,60.4000,0.0,0.060235120356082916,0.25,0.7967391014099121,10,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=7,gl=2,le=100,ge=1000,beta=-1.0,vpc=10"
citeseer,polynormer,mlp,none,0.1,500,123,7,61.6667,58.9000,0.0,0.03958232328295708,0.28333336114883423,0.7886512279510498,10,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=7,gl=2,le=100,ge=1000,beta=-1.0,vpc=10"
citeseer,polynormer,mlp,none,0.1,500,123,8,65.0000,58.1000,0.0,0.04058143123984337,0.1666666716337204,0.800685703754425,10,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=7,gl=2,le=100,ge=1000,beta=-1.0,vpc=10"
citeseer,polynormer,mlp,none,0.1,500,123,9,71.6667,62.5000,0.0,0.061760470271110535,0.28333336114883423,0.8005098700523376,10,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=7,gl=2,le=100,ge=1000,beta=-1.0,vpc=10"
citeseer,polynormer,mlp,none,0.2,500,123,0,61.6667,55.7000,0.0,0.05036524310708046,0.2666666805744171,0.8044536709785461,10,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=7,gl=2,le=100,ge=1000,beta=-1.0,vpc=10"
citeseer,polynormer,mlp,none,0.2,500,123,1,65.0000,62.8000,0.0,0.04576863348484039,0.3333333432674408,0.7950672507286072,10,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=7,gl=2,le=100,ge=1000,beta=-1.0,vpc=10"
citeseer,polynormer,mlp,none,0.2,500,123,2,56.6667,57.4000,0.0,0.05641865357756615,0.2666666805744171,0.8025211095809937,10,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=7,gl=2,le=100,ge=1000,beta=-1.0,vpc=10"
citeseer,polynormer,mlp,none,0.2,500,123,3,63.3333,56.6000,0.0,0.08313634246587753,0.36666667461395264,0.7971943020820618,10,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=7,gl=2,le=100,ge=1000,beta=-1.0,vpc=10"
citeseer,polynormer,mlp,none,0.2,500,123,4,60.0000,59.5000,0.0,0.0439608171582222,0.30000001192092896,0.7981855869293213,10,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=7,gl=2,le=100,ge=1000,beta=-1.0,vpc=10"
citeseer,polynormer,mlp,none,0.2,500,123,5,63.3333,59.4000,0.0,0.07492680102586746,0.31666669249534607,0.8016663789749146,10,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=7,gl=2,le=100,ge=1000,beta=-1.0,vpc=10"
citeseer,polynormer,mlp,none,0.2,500,123,6,58.3333,58.7000,0.0,0.060235120356082916,0.25,0.7967391014099121,10,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=7,gl=2,le=100,ge=1000,beta=-1.0,vpc=10"
citeseer,polynormer,mlp,none,0.2,500,123,7,60.0000,57.5000,0.0,0.03958232328295708,0.28333336114883423,0.7886512279510498,10,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=7,gl=2,le=100,ge=1000,beta=-1.0,vpc=10"
citeseer,polynormer,mlp,none,0.2,500,123,8,61.6667,62.2000,0.0,0.04058143123984337,0.1666666716337204,0.800685703754425,10,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=7,gl=2,le=100,ge=1000,beta=-1.0,vpc=10"
citeseer,polynormer,mlp,none,0.2,500,123,9,71.6667,58.7000,0.0,0.061760470271110535,0.28333336114883423,0.8005098700523376,10,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=7,gl=2,le=100,ge=1000,beta=-1.0,vpc=10"
citeseer,polynormer,mlp,none,0.4,500,123,0,58.3333,59.6000,0.0,0.05036524310708046,0.2666666805744171,0.8044536709785461,10,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=7,gl=2,le=100,ge=1000,beta=-1.0,vpc=10"
citeseer,polynormer,mlp,none,0.4,500,123,1,68.3333,63.1000,0.0,0.04576863348484039,0.3333333432674408,0.7950672507286072,10,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=7,gl=2,le=100,ge=1000,beta=-1.0,vpc=10"
citeseer,polynormer,mlp,none,0.4,500,123,2,56.6667,60.7000,0.0,0.05641865357756615,0.2666666805744171,0.8025211095809937,10,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=7,gl=2,le=100,ge=1000,beta=-1.0,vpc=10"
citeseer,polynormer,mlp,none,0.4,500,123,3,63.3333,65.3000,0.0,0.08313634246587753,0.36666667461395264,0.7971943020820618,10,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=7,gl=2,le=100,ge=1000,beta=-1.0,vpc=10"
citeseer,polynormer,mlp,none,0.4,500,123,4,63.3333,61.5000,0.0,0.0439608171582222,0.30000001192092896,0.7981855869293213,10,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=7,gl=2,le=100,ge=1000,beta=-1.0,vpc=10"
citeseer,polynormer,mlp,none,0.4,500,123,5,58.3333,56.4000,0.0,0.07492680102586746,0.31666669249534607,0.8016663789749146,10,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=7,gl=2,le=100,ge=1000,beta=-1.0,vpc=10"
citeseer,polynormer,mlp,none,0.4,500,123,6,55.0000,63.0000,0.0,0.060235120356082916,0.25,0.7967391014099121,10,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=7,gl=2,le=100,ge=1000,beta=-1.0,vpc=10"
citeseer,polynormer,mlp,none,0.4,500,123,7,58.3333,57.6000,0.0,0.03958232328295708,0.28333336114883423,0.7886512279510498,10,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=7,gl=2,le=100,ge=1000,beta=-1.0,vpc=10"
citeseer,polynormer,mlp,none,0.4,500,123,8,58.3333,54.6000,0.0,0.04058143123984337,0.1666666716337204,0.800685703754425,10,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=7,gl=2,le=100,ge=1000,beta=-1.0,vpc=10"
citeseer,polynormer,mlp,none,0.4,500,123,9,70.0000,59.7000,0.0,0.061760470271110535,0.28333336114883423,0.8005098700523376,10,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=7,gl=2,le=100,ge=1000,beta=-1.0,vpc=10"
citeseer,polynormer,mlp,none,0.8,500,123,0,56.6667,57.2000,0.0,0.05036524310708046,0.2666666805744171,0.8044536709785461,10,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=7,gl=2,le=100,ge=1000,beta=-1.0,vpc=10"
citeseer,polynormer,mlp,none,0.8,500,123,1,65.0000,61.6000,0.0,0.04576863348484039,0.3333333432674408,0.7950672507286072,10,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=7,gl=2,le=100,ge=1000,beta=-1.0,vpc=10"
citeseer,polynormer,mlp,none,0.8,500,123,2,55.0000,52.0000,0.0,0.05641865357756615,0.2666666805744171,0.8025211095809937,10,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=7,gl=2,le=100,ge=1000,beta=-1.0,vpc=10"
citeseer,polynormer,mlp,none,0.8,500,123,3,58.3333,59.7000,0.0,0.08313634246587753,0.36666667461395264,0.7971943020820618,10,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=7,gl=2,le=100,ge=1000,beta=-1.0,vpc=10"
citeseer,polynormer,mlp,none,0.8,500,123,4,56.6667,57.0000,0.0,0.0439608171582222,0.30000001192092896,0.7981855869293213,10,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=7,gl=2,le=100,ge=1000,beta=-1.0,vpc=10"
citeseer,polynormer,mlp,none,0.8,500,123,5,56.6667,52.2000,0.0,0.07492680102586746,0.31666669249534607,0.8016663789749146,10,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=7,gl=2,le=100,ge=1000,beta=-1.0,vpc=10"
citeseer,polynormer,mlp,none,0.8,500,123,6,51.6667,62.4000,0.0,0.060235120356082916,0.25,0.7967391014099121,10,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=7,gl=2,le=100,ge=1000,beta=-1.0,vpc=10"
citeseer,polynormer,mlp,none,0.8,500,123,7,65.0000,57.9000,0.0,0.03958232328295708,0.28333336114883423,0.7886512279510498,10,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=7,gl=2,le=100,ge=1000,beta=-1.0,vpc=10"
citeseer,polynormer,mlp,none,0.8,500,123,8,61.6667,57.1000,0.0,0.04058143123984337,0.1666666716337204,0.800685703754425,10,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=7,gl=2,le=100,ge=1000,beta=-1.0,vpc=10"
citeseer,polynormer,mlp,none,0.8,500,123,9,65.0000,57.8000,0.0,0.061760470271110535,0.28333336114883423,0.8005098700523376,10,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=7,gl=2,le=100,ge=1000,beta=-1.0,vpc=10"
citeseer,polynormer,mlp,none,1.6,500,123,0,55.0000,52.2000,0.0,0.05036524310708046,0.2666666805744171,0.8044536709785461,10,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=7,gl=2,le=100,ge=1000,beta=-1.0,vpc=10"
citeseer,polynormer,mlp,none,1.6,500,123,1,61.6667,58.0000,0.0,0.04576863348484039,0.3333333432674408,0.7950672507286072,10,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=7,gl=2,le=100,ge=1000,beta=-1.0,vpc=10"
citeseer,polynormer,mlp,none,1.6,500,123,2,53.3333,54.6000,0.0,0.05641865357756615,0.2666666805744171,0.8025211095809937,10,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=7,gl=2,le=100,ge=1000,beta=-1.0,vpc=10"
citeseer,polynormer,mlp,none,1.6,500,123,3,53.3333,53.5000,0.0,0.08313634246587753,0.36666667461395264,0.7971943020820618,10,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=7,gl=2,le=100,ge=1000,beta=-1.0,vpc=10"
citeseer,polynormer,mlp,none,1.6,500,123,4,58.3333,58.3000,0.0,0.0439608171582222,0.30000001192092896,0.7981855869293213,10,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=7,gl=2,le=100,ge=1000,beta=-1.0,vpc=10"
citeseer,polynormer,mlp,none,1.6,500,123,5,53.3333,42.1000,0.0,0.07492680102586746,0.31666669249534607,0.8016663789749146,10,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=7,gl=2,le=100,ge=1000,beta=-1.0,vpc=10"
citeseer,polynormer,mlp,none,1.6,500,123,6,55.0000,58.0000,0.0,0.060235120356082916,0.25,0.7967391014099121,10,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=7,gl=2,le=100,ge=1000,beta=-1.0,vpc=10"
citeseer,polynormer,mlp,none,1.6,500,123,7,63.3333,58.2000,0.0,0.03958232328295708,0.28333336114883423,0.7886512279510498,10,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=7,gl=2,le=100,ge=1000,beta=-1.0,vpc=10"
citeseer,polynormer,mlp,none,1.6,500,123,8,53.3333,51.1000,0.0,0.04058143123984337,0.1666666716337204,0.800685703754425,10,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=7,gl=2,le=100,ge=1000,beta=-1.0,vpc=10"
citeseer,polynormer,mlp,none,1.6,500,123,9,60.0000,47.2000,0.0,0.061760470271110535,0.28333336114883423,0.8005098700523376,10,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=7,gl=2,le=100,ge=1000,beta=-1.0,vpc=10"
