dataset,model,reg_type,penalty_transform,lambda,mlp_epochs,seed,run,best_valid,test_at_best_valid,penalty_dist,offdiag_cv,mlp_acc,cooc_oracle_dist,budget,n_prior_edges,config
pubmed,MPNN_gcn,mlp,none,0.05,500,123,2,79.8000,81.0000,0.0,0.17844516038894653,0.6440000534057617,0.3867018520832062,50,,"lr=0.005,hid=256,do=0.7,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False"
pubmed,MPNN_gcn,mlp,none,0.05,500,123,3,78.8000,80.1000,0.0,0.16194289922714233,0.6760000586509705,0.3720037043094635,50,,"lr=0.005,hid=256,do=0.7,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False"
pubmed,MPNN_gcn,mlp,none,0.05,500,123,4,81.2000,82.4000,0.0,0.1312272548675537,0.6600000262260437,0.3653688430786133,50,,"lr=0.005,hid=256,do=0.7,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False"
pubmed,MPNN_gcn,mlp,none,0.05,500,123,5,81.0000,80.3000,0.0,0.1900620013475418,0.6600000262260437,0.3956505060195923,50,,"lr=0.005,hid=256,do=0.7,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False"
pubmed,MPNN_gcn,mlp,none,0.05,500,123,6,84.2000,82.6000,0.0,0.22197751700878143,0.6960000395774841,0.36118921637535095,50,,"lr=0.005,hid=256,do=0.7,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False"
pubmed,MPNN_gcn,mlp,none,0.05,500,123,7,80.2000,77.6000,0.0,0.1235058605670929,0.6440000534057617,0.3870871067047119,50,,"lr=0.005,hid=256,do=0.7,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False"
pubmed,MPNN_gcn,mlp,none,0.05,500,123,8,81.0000,82.4000,0.0,0.1707947701215744,0.6820000410079956,0.35211193561553955,50,,"lr=0.005,hid=256,do=0.7,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False"
pubmed,MPNN_gcn,mlp,none,0.05,500,123,9,85.4000,82.6000,0.0,0.1446206420660019,0.7480000257492065,0.29460856318473816,50,,"lr=0.005,hid=256,do=0.7,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False"
pubmed,MPNN_gcn,oracle,none,0.1,,123,0,77.8000,80.5000,0.0,0.1966123729944229,,,50,,"lr=0.005,hid=256,do=0.7,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False"
pubmed,MPNN_gcn,oracle,none,0.1,,123,1,83.8000,82.5000,0.0,0.1966123729944229,,,50,,"lr=0.005,hid=256,do=0.7,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False"
pubmed,MPNN_gcn,oracle,none,0.1,,123,2,80.0000,81.2000,0.0,0.1966123729944229,,,50,,"lr=0.005,hid=256,do=0.7,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False"
pubmed,MPNN_gcn,oracle,none,0.1,,123,3,78.8000,80.1000,0.0,0.1966123729944229,,,50,,"lr=0.005,hid=256,do=0.7,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False"
pubmed,MPNN_gcn,oracle,none,0.1,,123,4,81.8000,82.6000,0.0,0.1966123729944229,,,50,,"lr=0.005,hid=256,do=0.7,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False"
pubmed,MPNN_gcn,oracle,none,0.1,,123,5,81.2000,77.0000,0.0,0.1966123729944229,,,50,,"lr=0.005,hid=256,do=0.7,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False"
pubmed,MPNN_gcn,oracle,none,0.1,,123,6,84.4000,81.8000,0.0,0.1966123729944229,,,50,,"lr=0.005,hid=256,do=0.7,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False"
pubmed,MPNN_gcn,oracle,none,0.1,,123,7,80.2000,78.0000,0.0,0.1966123729944229,,,50,,"lr=0.005,hid=256,do=0.7,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False"
pubmed,MPNN_gcn,oracle,none,0.1,,123,8,81.0000,82.5000,0.0,0.1966123729944229,,,50,,"lr=0.005,hid=256,do=0.7,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False"
pubmed,MPNN_gcn,oracle,none,0.1,,123,9,85.6000,83.1000,0.0,0.1966123729944229,,,50,,"lr=0.005,hid=256,do=0.7,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False"
pubmed,MPNN_gcn,mlp,none,0.1,500,123,0,77.8000,80.6000,0.0,0.19698165357112885,0.6520000100135803,0.3652542233467102,50,,"lr=0.005,hid=256,do=0.7,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False"
pubmed,MPNN_gcn,mlp,none,0.1,500,123,1,84.0000,82.4000,0.0,0.16860456764698029,0.6780000329017639,0.30964556336402893,50,,"lr=0.005,hid=256,do=0.7,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False"
pubmed,MPNN_gcn,mlp,none,0.1,500,123,2,80.0000,81.6000,0.0,0.17844516038894653,0.6440000534057617,0.3867018520832062,50,,"lr=0.005,hid=256,do=0.7,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False"
pubmed,MPNN_gcn,mlp,none,0.1,500,123,3,78.4000,79.6000,0.0,0.16194289922714233,0.6760000586509705,0.3720037043094635,50,,"lr=0.005,hid=256,do=0.7,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False"
pubmed,MPNN_gcn,mlp,none,0.1,500,123,4,81.0000,82.3000,0.0,0.1312272548675537,0.6600000262260437,0.3653688430786133,50,,"lr=0.005,hid=256,do=0.7,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False"
pubmed,MPNN_gcn,mlp,none,0.1,500,123,5,81.2000,80.5000,0.0,0.1900620013475418,0.6600000262260437,0.3956505060195923,50,,"lr=0.005,hid=256,do=0.7,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False"
pubmed,MPNN_gcn,mlp,none,0.1,500,123,6,84.4000,82.0000,0.0,0.22197751700878143,0.6960000395774841,0.36118921637535095,50,,"lr=0.005,hid=256,do=0.7,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False"
pubmed,MPNN_gcn,mlp,none,0.1,500,123,7,80.2000,77.4000,0.0,0.1235058605670929,0.6440000534057617,0.3870871067047119,50,,"lr=0.005,hid=256,do=0.7,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False"
pubmed,MPNN_gcn,mlp,none,0.1,500,123,8,81.0000,82.1000,0.0,0.1707947701215744,0.6820000410079956,0.35211193561553955,50,,"lr=0.005,hid=256,do=0.7,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False"
pubmed,MPNN_gcn,mlp,none,0.1,500,123,9,85.4000,82.8000,0.0,0.1446206420660019,0.7480000257492065,0.29460856318473816,50,,"lr=0.005,hid=256,do=0.7,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False"
pubmed,MPNN_gcn,oracle,none,0.2,,123,0,77.6000,80.3000,0.0,0.1966123729944229,,,50,,"lr=0.005,hid=256,do=0.7,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False"
pubmed,MPNN_gcn,oracle,none,0.2,,123,1,84.0000,82.6000,0.0,0.1966123729944229,,,50,,"lr=0.005,hid=256,do=0.7,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False"
pubmed,MPNN_gcn,oracle,none,0.2,,123,2,79.8000,81.2000,0.0,0.1966123729944229,,,50,,"lr=0.005,hid=256,do=0.7,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False"
pubmed,MPNN_gcn,oracle,none,0.2,,123,3,79.8000,80.1000,0.0,0.1966123729944229,,,50,,"lr=0.005,hid=256,do=0.7,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False"
pubmed,MPNN_gcn,oracle,none,0.2,,123,4,81.4000,82.9000,0.0,0.1966123729944229,,,50,,"lr=0.005,hid=256,do=0.7,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False"
pubmed,MPNN_gcn,oracle,none,0.2,,123,5,81.0000,76.8000,0.0,0.1966123729944229,,,50,,"lr=0.005,hid=256,do=0.7,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False"
pubmed,MPNN_gcn,oracle,none,0.2,,123,6,84.4000,82.5000,0.0,0.1966123729944229,,,50,,"lr=0.005,hid=256,do=0.7,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False"
pubmed,MPNN_gcn,oracle,none,0.2,,123,7,80.4000,80.1000,0.0,0.1966123729944229,,,50,,"lr=0.005,hid=256,do=0.7,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False"
pubmed,MPNN_gcn,oracle,none,0.2,,123,8,81.2000,82.3000,0.0,0.1966123729944229,,,50,,"lr=0.005,hid=256,do=0.7,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False"
pubmed,MPNN_gcn,oracle,none,0.2,,123,9,85.8000,82.4000,0.0,0.1966123729944229,,,50,,"lr=0.005,hid=256,do=0.7,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False"
pubmed,MPNN_gcn,mlp,none,0.2,500,123,0,77.8000,80.9000,0.0,0.19698165357112885,0.6520000100135803,0.3652542233467102,50,,"lr=0.005,hid=256,do=0.7,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False"
pubmed,MPNN_gcn,mlp,none,0.2,500,123,1,84.2000,82.3000,0.0,0.16860456764698029,0.6780000329017639,0.30964556336402893,50,,"lr=0.005,hid=256,do=0.7,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False"
pubmed,MPNN_gcn,mlp,none,0.2,500,123,2,80.0000,80.3000,0.0,0.17844516038894653,0.6440000534057617,0.3867018520832062,50,,"lr=0.005,hid=256,do=0.7,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False"
pubmed,MPNN_gcn,mlp,none,0.2,500,123,3,78.6000,80.7000,0.0,0.16194289922714233,0.6760000586509705,0.3720037043094635,50,,"lr=0.005,hid=256,do=0.7,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False"
pubmed,MPNN_gcn,mlp,none,0.2,500,123,4,81.0000,82.4000,0.0,0.1312272548675537,0.6600000262260437,0.3653688430786133,50,,"lr=0.005,hid=256,do=0.7,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False"
pubmed,MPNN_gcn,mlp,none,0.2,500,123,5,81.0000,80.2000,0.0,0.1900620013475418,0.6600000262260437,0.3956505060195923,50,,"lr=0.005,hid=256,do=0.7,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False"
pubmed,MPNN_gcn,mlp,none,0.2,500,123,6,84.2000,82.2000,0.0,0.22197751700878143,0.6960000395774841,0.36118921637535095,50,,"lr=0.005,hid=256,do=0.7,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False"
pubmed,MPNN_gcn,mlp,none,0.2,500,123,7,80.2000,79.2000,0.0,0.1235058605670929,0.6440000534057617,0.3870871067047119,50,,"lr=0.005,hid=256,do=0.7,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False"
pubmed,MPNN_gcn,mlp,none,0.2,500,123,8,81.4000,82.2000,0.0,0.1707947701215744,0.6820000410079956,0.35211193561553955,50,,"lr=0.005,hid=256,do=0.7,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False"
pubmed,MPNN_gcn,mlp,none,0.2,500,123,9,85.4000,82.4000,0.0,0.1446206420660019,0.7480000257492065,0.29460856318473816,50,,"lr=0.005,hid=256,do=0.7,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False"
pubmed,MPNN_gcn,oracle,none,0.4,,123,0,77.4000,80.4000,0.0,0.1966123729944229,,,50,,"lr=0.005,hid=256,do=0.7,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False"
pubmed,MPNN_gcn,oracle,none,0.4,,123,1,84.2000,82.5000,0.0,0.1966123729944229,,,50,,"lr=0.005,hid=256,do=0.7,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False"
pubmed,MPNN_gcn,oracle,none,0.4,,123,2,80.4000,80.8000,0.0,0.1966123729944229,,,50,,"lr=0.005,hid=256,do=0.7,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False"
pubmed,MPNN_gcn,oracle,none,0.4,,123,3,79.2000,81.9000,0.0,0.1966123729944229,,,50,,"lr=0.005,hid=256,do=0.7,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False"
pubmed,MPNN_gcn,oracle,none,0.4,,123,4,81.0000,82.7000,0.0,0.1966123729944229,,,50,,"lr=0.005,hid=256,do=0.7,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False"
pubmed,MPNN_gcn,oracle,none,0.4,,123,5,81.4000,78.9000,0.0,0.1966123729944229,,,50,,"lr=0.005,hid=256,do=0.7,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False"
pubmed,MPNN_gcn,oracle,none,0.4,,123,6,84.6000,79.9000,0.0,0.1966123729944229,,,50,,"lr=0.005,hid=256,do=0.7,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False"
pubmed,MPNN_gcn,oracle,none,0.4,,123,7,80.8000,79.0000,0.0,0.1966123729944229,,,50,,"lr=0.005,hid=256,do=0.7,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False"
pubmed,MPNN_gcn,oracle,none,0.4,,123,8,81.2000,83.2000,0.0,0.1966123729944229,,,50,,"lr=0.005,hid=256,do=0.7,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False"
pubmed,MPNN_gcn,oracle,none,0.4,,123,9,85.4000,82.8000,0.0,0.1966123729944229,,,50,,"lr=0.005,hid=256,do=0.7,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False"
pubmed,MPNN_gcn,mlp,none,0.4,500,123,0,77.6000,80.4000,0.0,0.19698165357112885,0.6520000100135803,0.3652542233467102,50,,"lr=0.005,hid=256,do=0.7,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False"
pubmed,MPNN_gcn,mlp,none,0.4,500,123,1,84.2000,82.9000,0.0,0.16860456764698029,0.6780000329017639,0.30964556336402893,50,,"lr=0.005,hid=256,do=0.7,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False"
pubmed,MPNN_gcn,mlp,none,0.4,500,123,2,80.4000,80.7000,0.0,0.17844516038894653,0.6440000534057617,0.3867018520832062,50,,"lr=0.005,hid=256,do=0.7,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False"
pubmed,MPNN_gcn,mlp,none,0.4,500,123,3,78.6000,80.9000,0.0,0.16194289922714233,0.6760000586509705,0.3720037043094635,50,,"lr=0.005,hid=256,do=0.7,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False"
pubmed,MPNN_gcn,mlp,none,0.4,500,123,4,81.4000,82.7000,0.0,0.1312272548675537,0.6600000262260437,0.3653688430786133,50,,"lr=0.005,hid=256,do=0.7,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False"
pubmed,MPNN_gcn,mlp,none,0.4,500,123,5,81.0000,79.8000,0.0,0.1900620013475418,0.6600000262260437,0.3956505060195923,50,,"lr=0.005,hid=256,do=0.7,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False"
pubmed,MPNN_gcn,mlp,none,0.4,500,123,6,84.6000,79.1000,0.0,0.22197751700878143,0.6960000395774841,0.36118921637535095,50,,"lr=0.005,hid=256,do=0.7,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False"
pubmed,MPNN_gcn,mlp,none,0.4,500,123,7,80.4000,78.5000,0.0,0.1235058605670929,0.6440000534057617,0.3870871067047119,50,,"lr=0.005,hid=256,do=0.7,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False"
pubmed,MPNN_gcn,mlp,none,0.4,500,123,8,81.0000,83.2000,0.0,0.1707947701215744,0.6820000410079956,0.35211193561553955,50,,"lr=0.005,hid=256,do=0.7,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False"
pubmed,MPNN_gcn,mlp,none,0.4,500,123,9,85.2000,82.9000,0.0,0.1446206420660019,0.7480000257492065,0.29460856318473816,50,,"lr=0.005,hid=256,do=0.7,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False"
