dataset,model,reg_type,penalty_transform,lambda,mlp_epochs,seed,run,best_valid,test_at_best_valid,penalty_dist,offdiag_cv,mlp_acc,cooc_oracle_dist,config
cora,sgformer,mlp,shuffle,0.01,500,123,2,79.6000,83.2000,0.2968212962150574,0.11667870730161667,0.4780000150203705,0.613129734992981,"lr=0.01,hid=64,do=0.5,wd=0.0005,heads=1,gcn_l=4,tr_l=1,gw=0.8,alpha=0.5,tr_do=0.2,tr_wd=0.001,bn=False"
cora,sgformer,mlp,shuffle,0.01,500,123,3,80.8000,81.9000,0.31318753957748413,0.09356599301099777,0.4440000355243683,0.6330684423446655,"lr=0.01,hid=64,do=0.5,wd=0.0005,heads=1,gcn_l=4,tr_l=1,gw=0.8,alpha=0.5,tr_do=0.2,tr_wd=0.001,bn=False"
cora,sgformer,mlp,shuffle,0.01,500,123,4,80.0000,82.6000,0.3217426538467407,0.10951093584299088,0.47600001096725464,0.6251900792121887,"lr=0.01,hid=64,do=0.5,wd=0.0005,heads=1,gcn_l=4,tr_l=1,gw=0.8,alpha=0.5,tr_do=0.2,tr_wd=0.001,bn=False"
cora,sgformer,mlp,shuffle,0.01,500,123,5,78.0000,81.1000,0.31210094690322876,0.10583692789077759,0.46400001645088196,0.6283481121063232,"lr=0.01,hid=64,do=0.5,wd=0.0005,heads=1,gcn_l=4,tr_l=1,gw=0.8,alpha=0.5,tr_do=0.2,tr_wd=0.001,bn=False"
cora,sgformer,mlp,shuffle,0.01,500,123,6,81.4000,83.3000,0.2796016037464142,0.10455022007226944,0.45000001788139343,0.6338091492652893,"lr=0.01,hid=64,do=0.5,wd=0.0005,heads=1,gcn_l=4,tr_l=1,gw=0.8,alpha=0.5,tr_do=0.2,tr_wd=0.001,bn=False"
cora,sgformer,mlp,shuffle,0.01,500,123,7,81.6000,83.8000,0.33838656544685364,0.12465935200452805,0.4580000340938568,0.622273325920105,"lr=0.01,hid=64,do=0.5,wd=0.0005,heads=1,gcn_l=4,tr_l=1,gw=0.8,alpha=0.5,tr_do=0.2,tr_wd=0.001,bn=False"
cora,sgformer,mlp,shuffle,0.01,500,123,8,79.6000,82.4000,0.31846874952316284,0.10316939651966095,0.492000013589859,0.6336329579353333,"lr=0.01,hid=64,do=0.5,wd=0.0005,heads=1,gcn_l=4,tr_l=1,gw=0.8,alpha=0.5,tr_do=0.2,tr_wd=0.001,bn=False"
cora,sgformer,mlp,shuffle,0.01,500,123,9,81.8000,83.8000,0.27440252900123596,0.11583700776100159,0.47200003266334534,0.6265757083892822,"lr=0.01,hid=64,do=0.5,wd=0.0005,heads=1,gcn_l=4,tr_l=1,gw=0.8,alpha=0.5,tr_do=0.2,tr_wd=0.001,bn=False"
cora,sgformer,mlp,shuffle,0.05,500,123,0,79.2000,80.4000,0.31360137462615967,0.08762942999601364,0.4780000150203705,0.6159365773200989,"lr=0.01,hid=64,do=0.5,wd=0.0005,heads=1,gcn_l=4,tr_l=1,gw=0.8,alpha=0.5,tr_do=0.2,tr_wd=0.001,bn=False"
cora,sgformer,mlp,shuffle,0.05,500,123,1,79.8000,81.5000,0.33618098497390747,0.09008850157260895,0.48000001907348633,0.6215466260910034,"lr=0.01,hid=64,do=0.5,wd=0.0005,heads=1,gcn_l=4,tr_l=1,gw=0.8,alpha=0.5,tr_do=0.2,tr_wd=0.001,bn=False"
cora,sgformer,mlp,shuffle,0.05,500,123,2,80.8000,83.2000,0.2968212962150574,0.11667870730161667,0.4780000150203705,0.613129734992981,"lr=0.01,hid=64,do=0.5,wd=0.0005,heads=1,gcn_l=4,tr_l=1,gw=0.8,alpha=0.5,tr_do=0.2,tr_wd=0.001,bn=False"
cora,sgformer,mlp,shuffle,0.05,500,123,3,81.4000,81.3000,0.31318753957748413,0.09356599301099777,0.4440000355243683,0.6330684423446655,"lr=0.01,hid=64,do=0.5,wd=0.0005,heads=1,gcn_l=4,tr_l=1,gw=0.8,alpha=0.5,tr_do=0.2,tr_wd=0.001,bn=False"
cora,sgformer,mlp,shuffle,0.05,500,123,4,80.2000,83.5000,0.3217426538467407,0.10951093584299088,0.47600001096725464,0.6251900792121887,"lr=0.01,hid=64,do=0.5,wd=0.0005,heads=1,gcn_l=4,tr_l=1,gw=0.8,alpha=0.5,tr_do=0.2,tr_wd=0.001,bn=False"
cora,sgformer,mlp,shuffle,0.05,500,123,5,78.8000,80.6000,0.31210094690322876,0.10583692789077759,0.46400001645088196,0.6283481121063232,"lr=0.01,hid=64,do=0.5,wd=0.0005,heads=1,gcn_l=4,tr_l=1,gw=0.8,alpha=0.5,tr_do=0.2,tr_wd=0.001,bn=False"
cora,sgformer,mlp,shuffle,0.05,500,123,6,81.4000,83.8000,0.2796016037464142,0.10455022007226944,0.45000001788139343,0.6338091492652893,"lr=0.01,hid=64,do=0.5,wd=0.0005,heads=1,gcn_l=4,tr_l=1,gw=0.8,alpha=0.5,tr_do=0.2,tr_wd=0.001,bn=False"
cora,sgformer,mlp,shuffle,0.05,500,123,7,82.0000,83.2000,0.33838656544685364,0.12465935200452805,0.4580000340938568,0.622273325920105,"lr=0.01,hid=64,do=0.5,wd=0.0005,heads=1,gcn_l=4,tr_l=1,gw=0.8,alpha=0.5,tr_do=0.2,tr_wd=0.001,bn=False"
cora,sgformer,mlp,shuffle,0.05,500,123,8,80.4000,80.5000,0.31846874952316284,0.10316939651966095,0.492000013589859,0.6336329579353333,"lr=0.01,hid=64,do=0.5,wd=0.0005,heads=1,gcn_l=4,tr_l=1,gw=0.8,alpha=0.5,tr_do=0.2,tr_wd=0.001,bn=False"
cora,sgformer,mlp,shuffle,0.05,500,123,9,80.2000,80.1000,0.27440252900123596,0.11583700776100159,0.47200003266334534,0.6265757083892822,"lr=0.01,hid=64,do=0.5,wd=0.0005,heads=1,gcn_l=4,tr_l=1,gw=0.8,alpha=0.5,tr_do=0.2,tr_wd=0.001,bn=False"
cora,sgformer,mlp,none,0.05,500,123,0,79.8000,81.5000,0.0,0.08762942999601364,0.4780000150203705,0.6159365773200989,"lr=0.01,hid=64,do=0.5,wd=0.0005,heads=1,gcn_l=4,tr_l=1,gw=0.8,alpha=0.5,tr_do=0.2,tr_wd=0.001,bn=False"
cora,sgformer,mlp,none,0.05,500,123,1,79.6000,81.6000,0.0,0.09008850157260895,0.48000001907348633,0.6215466260910034,"lr=0.01,hid=64,do=0.5,wd=0.0005,heads=1,gcn_l=4,tr_l=1,gw=0.8,alpha=0.5,tr_do=0.2,tr_wd=0.001,bn=False"
cora,sgformer,mlp,none,0.05,500,123,2,80.8000,81.7000,0.0,0.11667870730161667,0.4780000150203705,0.613129734992981,"lr=0.01,hid=64,do=0.5,wd=0.0005,heads=1,gcn_l=4,tr_l=1,gw=0.8,alpha=0.5,tr_do=0.2,tr_wd=0.001,bn=False"
cora,sgformer,mlp,none,0.05,500,123,3,81.6000,82.5000,0.0,0.09356599301099777,0.4440000355243683,0.6330684423446655,"lr=0.01,hid=64,do=0.5,wd=0.0005,heads=1,gcn_l=4,tr_l=1,gw=0.8,alpha=0.5,tr_do=0.2,tr_wd=0.001,bn=False"
cora,sgformer,mlp,none,0.05,500,123,4,80.6000,81.2000,0.0,0.10951093584299088,0.47600001096725464,0.6251900792121887,"lr=0.01,hid=64,do=0.5,wd=0.0005,heads=1,gcn_l=4,tr_l=1,gw=0.8,alpha=0.5,tr_do=0.2,tr_wd=0.001,bn=False"
cora,sgformer,mlp,none,0.05,500,123,5,79.2000,82.4000,0.0,0.10583692789077759,0.46400001645088196,0.6283481121063232,"lr=0.01,hid=64,do=0.5,wd=0.0005,heads=1,gcn_l=4,tr_l=1,gw=0.8,alpha=0.5,tr_do=0.2,tr_wd=0.001,bn=False"
cora,sgformer,mlp,none,0.05,500,123,6,81.0000,83.9000,0.0,0.10455022007226944,0.45000001788139343,0.6338091492652893,"lr=0.01,hid=64,do=0.5,wd=0.0005,heads=1,gcn_l=4,tr_l=1,gw=0.8,alpha=0.5,tr_do=0.2,tr_wd=0.001,bn=False"
cora,sgformer,mlp,none,0.05,500,123,7,81.6000,84.0000,0.0,0.12465935200452805,0.4580000340938568,0.622273325920105,"lr=0.01,hid=64,do=0.5,wd=0.0005,heads=1,gcn_l=4,tr_l=1,gw=0.8,alpha=0.5,tr_do=0.2,tr_wd=0.001,bn=False"
cora,sgformer,mlp,none,0.05,500,123,8,79.4000,81.9000,0.0,0.10316939651966095,0.492000013589859,0.6336329579353333,"lr=0.01,hid=64,do=0.5,wd=0.0005,heads=1,gcn_l=4,tr_l=1,gw=0.8,alpha=0.5,tr_do=0.2,tr_wd=0.001,bn=False"
cora,sgformer,mlp,none,0.05,500,123,9,80.6000,82.1000,0.0,0.11583700776100159,0.47200003266334534,0.6265757083892822,"lr=0.01,hid=64,do=0.5,wd=0.0005,heads=1,gcn_l=4,tr_l=1,gw=0.8,alpha=0.5,tr_do=0.2,tr_wd=0.001,bn=False"
cora,sgformer,mlp,none,0.1,500,123,0,80.4000,82.4000,0.0,0.08762942999601364,0.4780000150203705,0.6159365773200989,"lr=0.01,hid=64,do=0.5,wd=0.0005,heads=1,gcn_l=4,tr_l=1,gw=0.8,alpha=0.5,tr_do=0.2,tr_wd=0.001,bn=False"
cora,sgformer,mlp,none,0.1,500,123,1,80.4000,78.8000,0.0,0.09008850157260895,0.48000001907348633,0.6215466260910034,"lr=0.01,hid=64,do=0.5,wd=0.0005,heads=1,gcn_l=4,tr_l=1,gw=0.8,alpha=0.5,tr_do=0.2,tr_wd=0.001,bn=False"
cora,sgformer,mlp,none,0.1,500,123,2,80.2000,81.4000,0.0,0.11667870730161667,0.4780000150203705,0.613129734992981,"lr=0.01,hid=64,do=0.5,wd=0.0005,heads=1,gcn_l=4,tr_l=1,gw=0.8,alpha=0.5,tr_do=0.2,tr_wd=0.001,bn=False"
cora,sgformer,mlp,none,0.1,500,123,3,81.2000,82.4000,0.0,0.09356599301099777,0.4440000355243683,0.6330684423446655,"lr=0.01,hid=64,do=0.5,wd=0.0005,heads=1,gcn_l=4,tr_l=1,gw=0.8,alpha=0.5,tr_do=0.2,tr_wd=0.001,bn=False"
cora,sgformer,mlp,none,0.1,500,123,4,80.0000,81.0000,0.0,0.10951093584299088,0.47600001096725464,0.6251900792121887,"lr=0.01,hid=64,do=0.5,wd=0.0005,heads=1,gcn_l=4,tr_l=1,gw=0.8,alpha=0.5,tr_do=0.2,tr_wd=0.001,bn=False"
cora,sgformer,mlp,none,0.1,500,123,5,78.8000,82.8000,0.0,0.10583692789077759,0.46400001645088196,0.6283481121063232,"lr=0.01,hid=64,do=0.5,wd=0.0005,heads=1,gcn_l=4,tr_l=1,gw=0.8,alpha=0.5,tr_do=0.2,tr_wd=0.001,bn=False"
cora,sgformer,mlp,none,0.1,500,123,6,81.4000,82.9000,0.0,0.10455022007226944,0.45000001788139343,0.6338091492652893,"lr=0.01,hid=64,do=0.5,wd=0.0005,heads=1,gcn_l=4,tr_l=1,gw=0.8,alpha=0.5,tr_do=0.2,tr_wd=0.001,bn=False"
cora,sgformer,mlp,none,0.1,500,123,7,81.6000,83.5000,0.0,0.12465935200452805,0.4580000340938568,0.622273325920105,"lr=0.01,hid=64,do=0.5,wd=0.0005,heads=1,gcn_l=4,tr_l=1,gw=0.8,alpha=0.5,tr_do=0.2,tr_wd=0.001,bn=False"
cora,sgformer,mlp,none,0.1,500,123,8,80.2000,82.4000,0.0,0.10316939651966095,0.492000013589859,0.6336329579353333,"lr=0.01,hid=64,do=0.5,wd=0.0005,heads=1,gcn_l=4,tr_l=1,gw=0.8,alpha=0.5,tr_do=0.2,tr_wd=0.001,bn=False"
cora,sgformer,mlp,none,0.1,500,123,9,81.0000,84.1000,0.0,0.11583700776100159,0.47200003266334534,0.6265757083892822,"lr=0.01,hid=64,do=0.5,wd=0.0005,heads=1,gcn_l=4,tr_l=1,gw=0.8,alpha=0.5,tr_do=0.2,tr_wd=0.001,bn=False"
cora,sgformer,mlp,shuffle,0.1,500,123,0,79.0000,80.2000,0.31360137462615967,0.08762942999601364,0.4780000150203705,0.6159365773200989,"lr=0.01,hid=64,do=0.5,wd=0.0005,heads=1,gcn_l=4,tr_l=1,gw=0.8,alpha=0.5,tr_do=0.2,tr_wd=0.001,bn=False"
cora,sgformer,mlp,shuffle,0.1,500,123,1,80.2000,80.4000,0.33618098497390747,0.09008850157260895,0.48000001907348633,0.6215466260910034,"lr=0.01,hid=64,do=0.5,wd=0.0005,heads=1,gcn_l=4,tr_l=1,gw=0.8,alpha=0.5,tr_do=0.2,tr_wd=0.001,bn=False"
cora,sgformer,mlp,shuffle,0.1,500,123,2,80.2000,83.3000,0.2968212962150574,0.11667870730161667,0.4780000150203705,0.613129734992981,"lr=0.01,hid=64,do=0.5,wd=0.0005,heads=1,gcn_l=4,tr_l=1,gw=0.8,alpha=0.5,tr_do=0.2,tr_wd=0.001,bn=False"
cora,sgformer,mlp,shuffle,0.1,500,123,3,81.2000,80.8000,0.31318753957748413,0.09356599301099777,0.4440000355243683,0.6330684423446655,"lr=0.01,hid=64,do=0.5,wd=0.0005,heads=1,gcn_l=4,tr_l=1,gw=0.8,alpha=0.5,tr_do=0.2,tr_wd=0.001,bn=False"
cora,sgformer,mlp,shuffle,0.1,500,123,4,79.6000,82.7000,0.3217426538467407,0.10951093584299088,0.47600001096725464,0.6251900792121887,"lr=0.01,hid=64,do=0.5,wd=0.0005,heads=1,gcn_l=4,tr_l=1,gw=0.8,alpha=0.5,tr_do=0.2,tr_wd=0.001,bn=False"
cora,sgformer,mlp,shuffle,0.1,500,123,5,79.6000,83.2000,0.31210094690322876,0.10583692789077759,0.46400001645088196,0.6283481121063232,"lr=0.01,hid=64,do=0.5,wd=0.0005,heads=1,gcn_l=4,tr_l=1,gw=0.8,alpha=0.5,tr_do=0.2,tr_wd=0.001,bn=False"
cora,sgformer,mlp,shuffle,0.1,500,123,6,81.6000,83.4000,0.2796016037464142,0.10455022007226944,0.45000001788139343,0.6338091492652893,"lr=0.01,hid=64,do=0.5,wd=0.0005,heads=1,gcn_l=4,tr_l=1,gw=0.8,alpha=0.5,tr_do=0.2,tr_wd=0.001,bn=False"
cora,sgformer,mlp,shuffle,0.1,500,123,7,81.0000,82.4000,0.33838656544685364,0.12465935200452805,0.4580000340938568,0.622273325920105,"lr=0.01,hid=64,do=0.5,wd=0.0005,heads=1,gcn_l=4,tr_l=1,gw=0.8,alpha=0.5,tr_do=0.2,tr_wd=0.001,bn=False"
cora,sgformer,mlp,shuffle,0.1,500,123,8,80.8000,81.4000,0.31846874952316284,0.10316939651966095,0.492000013589859,0.6336329579353333,"lr=0.01,hid=64,do=0.5,wd=0.0005,heads=1,gcn_l=4,tr_l=1,gw=0.8,alpha=0.5,tr_do=0.2,tr_wd=0.001,bn=False"
cora,sgformer,mlp,shuffle,0.1,500,123,9,80.8000,81.9000,0.27440252900123596,0.11583700776100159,0.47200003266334534,0.6265757083892822,"lr=0.01,hid=64,do=0.5,wd=0.0005,heads=1,gcn_l=4,tr_l=1,gw=0.8,alpha=0.5,tr_do=0.2,tr_wd=0.001,bn=False"
cora,sgformer,mlp,shuffle,0.2,500,123,0,79.8000,82.8000,0.31360137462615967,0.08762942999601364,0.4780000150203705,0.6159365773200989,"lr=0.01,hid=64,do=0.5,wd=0.0005,heads=1,gcn_l=4,tr_l=1,gw=0.8,alpha=0.5,tr_do=0.2,tr_wd=0.001,bn=False"
cora,sgformer,mlp,shuffle,0.2,500,123,1,79.0000,80.0000,0.33618098497390747,0.09008850157260895,0.48000001907348633,0.6215466260910034,"lr=0.01,hid=64,do=0.5,wd=0.0005,heads=1,gcn_l=4,tr_l=1,gw=0.8,alpha=0.5,tr_do=0.2,tr_wd=0.001,bn=False"
cora,sgformer,mlp,shuffle,0.2,500,123,2,80.6000,80.8000,0.2968212962150574,0.11667870730161667,0.4780000150203705,0.613129734992981,"lr=0.01,hid=64,do=0.5,wd=0.0005,heads=1,gcn_l=4,tr_l=1,gw=0.8,alpha=0.5,tr_do=0.2,tr_wd=0.001,bn=False"
cora,sgformer,mlp,shuffle,0.2,500,123,3,81.2000,83.1000,0.31318753957748413,0.09356599301099777,0.4440000355243683,0.6330684423446655,"lr=0.01,hid=64,do=0.5,wd=0.0005,heads=1,gcn_l=4,tr_l=1,gw=0.8,alpha=0.5,tr_do=0.2,tr_wd=0.001,bn=False"
cora,sgformer,mlp,shuffle,0.2,500,123,4,80.2000,80.9000,0.3217426538467407,0.10951093584299088,0.47600001096725464,0.6251900792121887,"lr=0.01,hid=64,do=0.5,wd=0.0005,heads=1,gcn_l=4,tr_l=1,gw=0.8,alpha=0.5,tr_do=0.2,tr_wd=0.001,bn=False"
cora,sgformer,mlp,shuffle,0.2,500,123,5,80.2000,80.2000,0.31210094690322876,0.10583692789077759,0.46400001645088196,0.6283481121063232,"lr=0.01,hid=64,do=0.5,wd=0.0005,heads=1,gcn_l=4,tr_l=1,gw=0.8,alpha=0.5,tr_do=0.2,tr_wd=0.001,bn=False"
cora,sgformer,mlp,shuffle,0.2,500,123,6,81.6000,79.0000,0.2796016037464142,0.10455022007226944,0.45000001788139343,0.6338091492652893,"lr=0.01,hid=64,do=0.5,wd=0.0005,heads=1,gcn_l=4,tr_l=1,gw=0.8,alpha=0.5,tr_do=0.2,tr_wd=0.001,bn=False"
cora,sgformer,mlp,shuffle,0.2,500,123,7,82.0000,84.0000,0.33838656544685364,0.12465935200452805,0.4580000340938568,0.622273325920105,"lr=0.01,hid=64,do=0.5,wd=0.0005,heads=1,gcn_l=4,tr_l=1,gw=0.8,alpha=0.5,tr_do=0.2,tr_wd=0.001,bn=False"
cora,sgformer,mlp,shuffle,0.2,500,123,8,79.8000,81.5000,0.31846874952316284,0.10316939651966095,0.492000013589859,0.6336329579353333,"lr=0.01,hid=64,do=0.5,wd=0.0005,heads=1,gcn_l=4,tr_l=1,gw=0.8,alpha=0.5,tr_do=0.2,tr_wd=0.001,bn=False"
cora,sgformer,mlp,shuffle,0.2,500,123,9,81.6000,83.6000,0.27440252900123596,0.11583700776100159,0.47200003266334534,0.6265757083892822,"lr=0.01,hid=64,do=0.5,wd=0.0005,heads=1,gcn_l=4,tr_l=1,gw=0.8,alpha=0.5,tr_do=0.2,tr_wd=0.001,bn=False"
cora,sgformer,mlp,none,0.2,500,123,0,80.6000,81.4000,0.0,0.08762942999601364,0.4780000150203705,0.6159365773200989,"lr=0.01,hid=64,do=0.5,wd=0.0005,heads=1,gcn_l=4,tr_l=1,gw=0.8,alpha=0.5,tr_do=0.2,tr_wd=0.001,bn=False"
cora,sgformer,mlp,none,0.2,500,123,1,79.6000,81.3000,0.0,0.09008850157260895,0.48000001907348633,0.6215466260910034,"lr=0.01,hid=64,do=0.5,wd=0.0005,heads=1,gcn_l=4,tr_l=1,gw=0.8,alpha=0.5,tr_do=0.2,tr_wd=0.001,bn=False"
cora,sgformer,mlp,none,0.2,500,123,2,80.2000,83.0000,0.0,0.11667870730161667,0.4780000150203705,0.613129734992981,"lr=0.01,hid=64,do=0.5,wd=0.0005,heads=1,gcn_l=4,tr_l=1,gw=0.8,alpha=0.5,tr_do=0.2,tr_wd=0.001,bn=False"
cora,sgformer,mlp,none,0.2,500,123,3,81.2000,82.6000,0.0,0.09356599301099777,0.4440000355243683,0.6330684423446655,"lr=0.01,hid=64,do=0.5,wd=0.0005,heads=1,gcn_l=4,tr_l=1,gw=0.8,alpha=0.5,tr_do=0.2,tr_wd=0.001,bn=False"
cora,sgformer,mlp,none,0.2,500,123,4,79.6000,80.2000,0.0,0.10951093584299088,0.47600001096725464,0.6251900792121887,"lr=0.01,hid=64,do=0.5,wd=0.0005,heads=1,gcn_l=4,tr_l=1,gw=0.8,alpha=0.5,tr_do=0.2,tr_wd=0.001,bn=False"
cora,sgformer,mlp,none,0.2,500,123,5,78.6000,81.3000,0.0,0.10583692789077759,0.46400001645088196,0.6283481121063232,"lr=0.01,hid=64,do=0.5,wd=0.0005,heads=1,gcn_l=4,tr_l=1,gw=0.8,alpha=0.5,tr_do=0.2,tr_wd=0.001,bn=False"
cora,sgformer,mlp,none,0.2,500,123,6,80.4000,83.5000,0.0,0.10455022007226944,0.45000001788139343,0.6338091492652893,"lr=0.01,hid=64,do=0.5,wd=0.0005,heads=1,gcn_l=4,tr_l=1,gw=0.8,alpha=0.5,tr_do=0.2,tr_wd=0.001,bn=False"
cora,sgformer,mlp,none,0.2,500,123,7,82.0000,83.5000,0.0,0.12465935200452805,0.4580000340938568,0.622273325920105,"lr=0.01,hid=64,do=0.5,wd=0.0005,heads=1,gcn_l=4,tr_l=1,gw=0.8,alpha=0.5,tr_do=0.2,tr_wd=0.001,bn=False"
cora,sgformer,mlp,none,0.2,500,123,8,80.0000,81.2000,0.0,0.10316939651966095,0.492000013589859,0.6336329579353333,"lr=0.01,hid=64,do=0.5,wd=0.0005,heads=1,gcn_l=4,tr_l=1,gw=0.8,alpha=0.5,tr_do=0.2,tr_wd=0.001,bn=False"
cora,sgformer,mlp,none,0.2,500,123,9,81.0000,83.7000,0.0,0.11583700776100159,0.47200003266334534,0.6265757083892822,"lr=0.01,hid=64,do=0.5,wd=0.0005,heads=1,gcn_l=4,tr_l=1,gw=0.8,alpha=0.5,tr_do=0.2,tr_wd=0.001,bn=False"
cora,sgformer,oracle,none,0.01,,123,0,79.2000,83.2000,0.0,0.3025507926940918,,,"lr=0.01,hid=64,do=0.5,wd=0.0005,heads=1,gcn_l=4,tr_l=1,gw=0.8,alpha=0.5,tr_do=0.2,tr_wd=0.001,bn=False"
